Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,WSW,26,23/6/2001,17:00
Cheung Chau,WSW,25,23/6/2001,17:00
Green Island,SSW,25,23/6/2001,20:00
King's Park,W,13,23/6/2001,14:00
Lau Fau Shan,SW,25,23/6/2001,19:00
North Point,WSW,22,23/6/2001,15:00
Ping Chau,S,9,23/6/2001,19:00
Sai Kung,WNW,12,23/6/2001,10:00
Sha Tin,SW,19,23/6/2001,18:00
Star Ferry (Kowloon),SW,19,23/6/2001,19:00
Ta Kwu Ling,ENE,14,23/6/2001,20:00
Tai Mei Tuk,W,27,23/6/2001,15:00
Tai Mo Shan,NNW,31,23/6/2001,07:00
Tate's Cairn,SSW,31,23/6/2001,19:00
Tseung Kwan O,SW,13,23/6/2001,19:00
Tuen Mun Government Offices,WNW,16,23/6/2001,15:00
Waglan Island,SW,36,23/6/2001,19:00
Wong Chuk Hang,WSW,12,23/6/2001,11:00
