Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,E,42,1/7/2001,08:00
Cheung Chau,ESE,67,1/7/2001,15:00
,SE,67,2/7/2001,03:00
Green Island,ESE,45,1/7/2001,15:00
King's Park,ESE,31,2/7/2001,01:00
Lau Fau Shan,E,30,1/7/2001,03:00
,E,30,1/7/2001,05:00
,E,30,1/7/2001,06:00
North Point,ENE,38,1/7/2001,05:00
Ping Chau,E,19,1/7/2001,15:00
Sai Kung,SE,40,2/7/2001,05:00
Sha Tin,ENE,22,1/7/2001,10:00
,SSE,22,2/7/2001,04:00
,SE,22,2/7/2001,06:00
Star Ferry (Kowloon),ESE,41,1/7/2001,20:00
,E,41,1/7/2001,21:00
Ta Kwu Ling,NNE,25,1/7/2001,10:00
,NNE,25,1/7/2001,11:00
Tai Mei Tuk,ENE,58,1/7/2001,10:00
Tai Mo Shan,SE,83,1/7/2001,07:00
Tate's Cairn,E,67,1/7/2001,10:00
Tseung Kwan O,ESE,22,2/7/2001,01:00
Tuen Mun Government Offices,SE,27,2/7/2001,04:00
Waglan Island,ESE,58,1/7/2001,21:00
Wong Chuk Hang,ESE,31,1/7/2001,11:00
