Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,S,75,7/7/2001,00:00
Cheung Chau,S,85,7/7/2001,00:00
Green Island,WSW,83,7/7/2001,00:00
King's Park,SSE,34,6/7/2001,23:00
Lau Fau Shan,WNW,65,6/7/2001,09:00
North Point,SW,36,6/7/2001,10:00
Ping Chau,SSE,23,7/7/2001,02:00
Sai Kung,S,51,6/7/2001,20:00
,S,51,7/7/2001,01:00
Sha Tin,SSW,34,6/7/2001,21:00
Star Ferry (Kowloon),W,43,6/7/2001,09:00
Ta Kwu Ling,S,25,7/7/2001,01:00
Tai Mei Tuk,SSW,40,6/7/2001,23:00
Tai Mo Shan,SSW,77,6/7/2001,20:00
Tate's Cairn,NW,58,6/7/2001,05:00
Tseung Kwan O,SSW,34,6/7/2001,20:00
Tuen Mun Government Offices,SSE,49,7/7/2001,00:00
Waglan Island,S,88,6/7/2001,20:00
Wong Chuk Hang,WNW,36,6/7/2001,05:00
