Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,E,30,29/8/2001,12:00
Cheung Chau,ESE,51,29/8/2001,21:00
King's Park,E,23,29/8/2001,09:00
Lau Fau Shan,E,27,29/8/2001,13:00
North Point,ENE,30,29/8/2001,09:00
Sai Kung,NE,31,29/8/2001,09:00
Sha Lo Wan,E,34,28/8/2001,23:00
,E,34,29/8/2001,08:00
Sha Tin,,16,28/8/2001,23:00
Shek Kong,ENE,23,29/8/2001,11:00
Star Ferry (Kowloon),E,31,29/8/2001,13:00
Ta Kwu Ling,,19,29/8/2001,10:00
Tai Mei Tuk,ENE,41,29/8/2001,10:00
Tai Mo Shan,ESE,62,29/8/2001,08:00
Tseung Kwan O,E,14,29/8/2001,09:00
Tuen Mun Government Offices,SE,19,29/8/2001,18:00
Waglan Island,ENE,52,28/8/2001,23:00
Wong Chuk Hang,E,25,29/8/2001,00:00
