Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,NNW,31,20/9/2001,15:00
Cheung Chau,N,25,20/9/2001,04:00
Green Island,W,25,20/9/2001,15:00
,NE,25,20/9/2001,16:00
King's Park,N,13,20/9/2001,16:00
Lau Fau Shan,NW,38,20/9/2001,15:00
North Point,SW,19,20/9/2001,15:00
Ping Chau,SSW,14,20/9/2001,19:00
Sai Kung,N,19,20/9/2001,04:00
Sha Lo Wan,SW,16,20/9/2001,19:00
Sha Tin,,12,20/9/2001,09:00
Shek Kong,W,14,20/9/2001,15:00
Star Ferry (Kowloon),W,14,20/9/2001,15:00
Ta Kwu Ling,N,13,20/9/2001,15:00
Tai Mei Tuk,NNE,16,20/9/2001,01:00
Tai Mo Shan,N,49,20/9/2001,16:00
Tate's Cairn,NW,38,20/9/2001,16:00
Tseung Kwan O,ENE,12,20/9/2001,09:00
Tuen Mun Government Offices,WNW,16,20/9/2001,15:00
Waglan Island,N,30,20/9/2001,04:00
,N,30,20/9/2001,16:00
,SE,30,20/9/2001,22:00
Wong Chuk Hang,NE,14,20/9/2001,16:00
