Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,NNE,31,4/8/2002,12:00
,NNE,31,4/8/2002,13:00
Cheung Chau,WNW,38,5/8/2002,07:00
Green Island,ENE,45,4/8/2002,11:00
Kai Tak,NE,25,4/8/2002,14:00
,WNW,25,5/8/2002,07:00
King's Park,N,23,4/8/2002,16:00
Lau Fau Shan,WNW,40,5/8/2002,08:00
North Point,NNE,31,4/8/2002,14:00
Ping Chau,WNW,23,5/8/2002,09:00
Sai Kung,N,40,4/8/2002,20:00
Sha Lo Wan,ENE,27,4/8/2002,12:00
Sha Tin,NNE,19,4/8/2002,06:00
Star Ferry (Kowloon),W,31,5/8/2002,09:00
Ta Kwu Ling,N/A,20,4/8/2002,21:00
Tai Mei Tuk,NNE,43,4/8/2002,12:00
Tai Mo Shan,NE,51,4/8/2002,11:00
Tate's Cairn,N,62,4/8/2002,17:00
Tseung Kwan O,ENE,16,3/8/2002,14:00
,NNW,16,5/8/2002,00:00
Tuen Mun Government Offices,NW,16,5/8/2002,07:00
Waglan Island,NNE,65,4/8/2002,15:00
Wong Chuk Hang,NW,20,5/8/2002,07:00
