Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,SE,43,19/8/2002,21:00
Cheung Chau,SE,59,20/8/2002,03:00
Green Island,E,47,18/8/2002,12:00
Kai Tak,ESE,41,19/8/2002,19:00
King's Park,E,25,19/8/2002,08:00
Lau Fau Shan,ENE,30,18/8/2002,12:00
North Point,ENE,31,18/8/2002,19:00
,ENE,31,18/8/2002,20:00
Ping Chau,E,19,18/8/2002,16:00
Sai Kung,ENE,38,18/8/2002,19:00
Sha Tin,ENE,20,18/8/2002,16:00
,SE,20,19/8/2002,16:00
Star Ferry (Kowloon),E,40,20/8/2002,01:00
Ta Kwu Ling,E,22,19/8/2002,14:00
Tai Mei Tuk,ENE,49,18/8/2002,19:00
Tai Mo Shan,SE,75,18/8/2002,21:00
Tate's Cairn,E,59,18/8/2002,19:00
Tseung Kwan O,ESE,22,19/8/2002,19:00
Tuen Mun Government Offices,SE,30,19/8/2002,18:00
Waglan Island,E,56,18/8/2002,19:00
Wong Chuk Hang,E,30,19/8/2002,08:00
