Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,E,56,11/9/2002,13:00
Cheung Chau,ESE,92,11/9/2002,14:00
Green Island,ESE,58,11/9/2002,10:00
Kai Tak,E,41,11/9/2002,11:00
,ESE,41,11/9/2002,16:00
King's Park,E,38,11/9/2002,12:00
Lau Fau Shan,ENE,31,11/9/2002,11:00
North Point,ENE,43,11/9/2002,11:00
Sai Kung,NE,52,11/9/2002,10:00
Sha Lo Wan,E,56,11/9/2002,13:00
Sha Tin,NNE,22,11/9/2002,07:00
Star Ferry (Kowloon),E,47,11/9/2002,13:00
Ta Kwu Ling,ESE,27,11/9/2002,13:00
Tai Mei Tuk,ENE,65,11/9/2002,11:00
Tai Mo Shan,SE,81,11/9/2002,23:00
Tate's Cairn,E,75,11/9/2002,11:00
Tseung Kwan O,NNE,23,11/9/2002,07:00
Tuen Mun Government Offices,SE,27,11/9/2002,19:00
,SE,27,12/9/2002,05:00
Waglan Island,E,79,11/9/2002,10:00
Wong Chuk Hang,ESE,41,11/9/2002,15:00
