Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,ESE,67,24/7/2003,05:00
Cheung Chau,ESE,101,24/7/2003,05:00
Green Island,ENE,75,23/7/2003,23:00
Kai Tak,ESE,45,24/7/2003,06:00
King's Park,E,40,24/7/2003,05:00
Lau Fau Shan,E,51,23/7/2003,23:00
North Point,ENE,52,24/7/2003,00:00
Ping Chau,E,27,23/7/2003,21:00
Sai Kung,NE,58,23/7/2003,22:00
Sha Lo Wan,E,67,24/7/2003,05:00
Sha Tin,NE,34,24/7/2003,00:00
Shek Kong,E,43,24/7/2003,03:00
Star Ferry (Kowloon),E,54,24/7/2003,02:00
Ta Kwu Ling,ESE,31,24/7/2003,05:00
Tai Mei Tuk,ENE,81,24/7/2003,00:00
Tai Mo Shan,ESE,108,24/7/2003,03:00
Tate's Cairn,E,99,24/7/2003,00:00
Tseung Kwan O,ESE,30,24/7/2003,08:00
,ESE,30,24/7/2003,09:00
Tuen Mun Government Offices,SE,41,24/7/2003,06:00
Waglan Island,E,83,24/7/2003,00:00
Wong Chuk Hang,ESE,49,24/7/2003,05:00
