Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,ESE,36,21/7/2003,11:00
Cheung Chau,ESE,51,21/7/2003,03:00
Green Island,ENE,36,20/7/2003,15:00
Kai Tak,SE,30,21/7/2003,11:00
King's Park,E,20,21/7/2003,02:00
Lau Fau Shan,ESE,23,20/7/2003,15:00
North Point,ENE,25,21/7/2003,01:00
Ping Chau,E,12,20/7/2003,15:00
Sai Kung,NE,25,20/7/2003,14:00
Sha Lo Wan,E,31,21/7/2003,02:00
Sha Tin,SSW,16,21/7/2003,14:00
Shek Kong,E,22,20/7/2003,15:00
Star Ferry (Kowloon),E,30,21/7/2003,03:00
Ta Kwu Ling,E,19,21/7/2003,04:00
Tai Mo Shan,ESE,59,21/7/2003,03:00
Tate's Cairn,E,43,21/7/2003,00:00
Tseung Kwan O,ENE,14,20/7/2003,14:00
Tuen Mun Government Offices,SE,22,21/7/2003,12:00
Waglan Island,ESE,45,21/7/2003,03:00
Wong Chuk Hang,ESE,25,21/7/2003,01:00
