Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,ESE,52,25/8/2003,05:00
Cheung Chau,ESE,87,25/8/2003,00:00
Green Island,ENE,67,24/8/2003,13:00
Kai Tak,ESE,43,25/8/2003,00:00
King's Park,E,31,25/8/2003,04:00
Lau Fau Shan,E,40,24/8/2003,14:00
North Point,ENE,41,24/8/2003,13:00
Ping Chau,E,23,24/8/2003,14:00
Sai Kung,NE,47,24/8/2003,13:00
,SE,47,25/8/2003,09:00
Sha Lo Wan,E,54,24/8/2003,13:00
Sha Tin,ENE,23,24/8/2003,13:00
Shek Kong,E,31,24/8/2003,17:00
,E,31,24/8/2003,23:00
Star Ferry (Kowloon),E,45,25/8/2003,00:00
Ta Kwu Ling,,30,25/8/2003,00:00
Tai Mei Tuk,ENE,68,24/8/2003,13:00
Tai Mo Shan,SE,79,25/8/2003,07:00
Tate's Cairn,ENE,70,24/8/2003,13:00
Tseung Kwan O,ESE,23,25/8/2003,09:00
Tuen Mun Government Offices,SE,30,24/8/2003,02:00
Waglan Island,ENE,77,24/8/2003,13:00
Wong Chuk Hang,ESE,36,24/8/2003,13:00
,ESE,36,24/8/2003,20:00
