Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,W,83,2/9/2003,22:00
Cheung Chau,NW,88,2/9/2003,20:00
Green Island,W,88,2/9/2003,21:00
Kai Tak,W,62,2/9/2003,21:00
King's Park,W,38,2/9/2003,21:00
Lau Fau Shan,WNW,99,2/9/2003,21:00
North Point,WSW,62,2/9/2003,21:00
Sai Kung,SSE,58,3/9/2003,00:00
Sha Lo Wan,SW,58,2/9/2003,23:00
Sha Tin,SSW,31,2/9/2003,22:00
Shek Kong,W,38,2/9/2003,21:00
Star Ferry (Kowloon),W,76,2/9/2003,21:00
Ta Kwu Ling,WNW,38,2/9/2003,21:00
Tai Mei Tuk,W,76,2/9/2003,21:00
Tai Mo Shan,WNW,81,2/9/2003,21:00
Tate's Cairn,W,101,2/9/2003,20:00
Tseung Kwan O,S,27,3/9/2003,00:00
Tuen Mun Government Offices,WNW,51,2/9/2003,22:00
Waglan Island,W,81,2/9/2003,21:00
Wong Chuk Hang,NW,40,2/9/2003,19:00
