Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,SW,49,,
Cheung Chau,N,54,,
Green Island,SSW,65,,
Kai Tak,NW,41,,
King's Park,N,27,,
Lau Fau Shan,N,48,,
North Point,W,38,,
Ping Chau,SW,31,,
Sai Kung,NNE,49,,
Sha Lo Wan,SW,36,,
Sha Tin,N,25,,
Shek Kong,NW,25,,
Star Ferry (Kowloon),W,47,,
Ta Kwu Ling,NNE,22,,
Tai Mei Tuk,NNE,59,,
Tai Mo Shan,N,63,,
Tate's Cairn,NNE,77,,
Tseung Kwan O,NNW,23,,
Tuen Mun Government Offices,ESE,19,,
Waglan Island,SW,99,,
Wong Chuk Hang,NW,31,,
