Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,NW,25,26/8/2004,16:00
Cheung Chau,NNW,38,26/8/2004,13:00
Green Island,W,22,27/8/2004,04:00
Kai Tak,WNW,23,27/8/2004,00:00
King's Park,WNW,12,27/8/2004,04:00
Lau Fau Shan,NW,31,27/8/2004,03:00
North Point,W,25,26/8/2004,16:00
Ping Chau,WNW,16,26/8/2004,14:00
Sai Kung,NW,19,26/8/2004,11:00
,NW,19,26/8/2004,12:00
Sha Lo Wan,SW,19,26/8/2004,17:00
,SW,19,26/8/2004,18:00
Sha Tin,N,12,26/8/2004,13:00
Shek Kong,WNW,12,27/8/2004,03:00
Star Ferry (Kowloon),W,27,26/8/2004,17:00
Ta Kwu Ling,NW,12,26/8/2004,13:00
Tai Mei Tuk,WNW,31,26/8/2004,13:00
Tai Mo Shan,NW,52,26/8/2004,16:00
Tate's Cairn,W,38,26/8/2004,23:00
Tseung Kwan O,W,12,26/8/2004,19:00
Tuen Mun Government Offices,NW,22,26/8/2004,15:00
Waglan Island,WNW,31,26/8/2004,17:00
Wong Chuk Hang,NW,22,26/8/2004,16:00
