Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,SW,31,13/8/2005,18:00
Cheung Chau,WSW,40,13/8/2005,18:00
Green Island,S,30,13/8/2005,18:00
Kai Tak,W,20,12/8/2005,13:00
King's Park,WSW,13,12/8/2005,13:00
Lau Fau Shan,WNW,36,12/8/2005,13:00
North Point,W,23,12/8/2005,13:00
Ping Chau,W,16,13/8/2005,13:00
Sai Kung,WNW,22,12/8/2005,23:00
Sha Lo Wan,SW,23,13/8/2005,18:00
Sha Tin,SSW,16,13/8/2005,15:00
Shek Kong,WNW,14,12/8/2005,13:00
Star Ferry (Kowloon),W,27,12/8/2005,13:00
Ta Kwu Ling,N,12,12/8/2005,14:00
Tai Mei Tuk,W,31,12/8/2005,23:00
Tai Mo Shan,W,52,13/8/2005,18:00
Tate's Cairn,SW,45,13/8/2005,18:00
Tseung Kwan O,SSW,14,13/8/2005,18:00
Tuen Mun Government Offices,NW,16,12/8/2005,15:00
Waglan Island,WSW,41,13/8/2005,18:00
Wong Chuk Hang,,14,12/8/2005,16:00
