Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,E,38,18/9/2005,05:00
Cheung Chau,E,51,18/9/2005,06:00
Green Island,E,47,17/9/2005,19:00
Kai Tak,E,34,18/9/2005,05:00
King's Park,E,23,17/9/2005,16:00
Lau Fau Shan,E,30,17/9/2005,21:00
North Point,E,34,18/9/2005,04:00
Ping Chau,E,14,17/9/2005,19:00
,E,14,17/9/2005,20:00
,E,14,17/9/2005,23:00
Sai Kung,ENE,31,17/9/2005,23:00
Sha Lo Wan,E,40,17/9/2005,20:00
Sha Tin,ENE,16,17/9/2005,20:00
Shek Kong,E,25,18/9/2005,00:00
Star Ferry (Kowloon),E,36,18/9/2005,05:00
Ta Kwu Ling,ESE,43,17/9/2005,16:00
Tai Mei Tuk,E,65,17/9/2005,16:00
Tai Mo Shan,ESE,58,18/9/2005,05:00
Tate's Cairn,E,14,18/9/2005,04:00
Tseung Kwan O,SE,14,17/9/2005,15:00
,SE,38,17/9/2005,16:00
Tuen Mun Government Offices,SE,12,17/9/2005,15:00
,E,12,18/9/2005,06:00
Waglan Island,ESE,54,17/9/2005,15:00
Wong Chuk Hang,,27,17/9/2005,19:00
