Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Hong Kong International Airport,E,51,24/9/2005,22:00
Cheung Chau,E,67,25/9/2005,10:00
Green Island,ENE,67,24/9/2005,13:00
Kai Tak,E,36,25/9/2005,21:00
King's Park,NE,30,24/9/2005,13:00
Lau Fau Shan,N,38,23/9/2005,17:00
North Point,E,38,26/9/2005,00:00
Ping Chau,E,23,25/9/2005,05:00
Sai Kung,NE,47,24/9/2005,13:00
Sha Lo Wan,E,49,24/9/2005,20:00
Sha Tin,ENE,23,25/9/2005,21:00
Shek Kong,E,34,25/9/2005,15:00
Star Ferry (Kowloon),E,40,26/9/2005,01:00
Ta Kwu Ling,E,27,24/9/2005,19:00
Tai Mei Tuk,ENE,65,24/9/2005,22:00
Tai Mo Shan,E,81,25/9/2005,09:00
Tate's Cairn,NNE,77,24/9/2005,11:00
Tseung Kwan O,NNE,31,24/9/2005,14:00
Tuen Mun Government Offices,SSE,22,25/9/2005,11:00
Waglan Island,ENE,81,24/9/2005,17:00
Wong Chuk Hang,,34,24/9/2005,17:00
,,34,25/9/2005,02:00
