Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,W,43,18/5/2006,00:00
,W,43,18/5/2006,02:00
Hong Kong International Airport,NNW,56,17/5/2006,18:00
Cheung Chau,NNW,62,17/5/2006,18:00
Green Island,N,70,17/5/2006,10:00
Kai Tak,N,41,17/5/2006,11:00
King's Park,N,34,17/5/2006,07:00
Lau Fau Shan,N,47,17/5/2006,10:00
North Point,N,43,17/5/2006,11:00
Ping Chau,WNW,22,18/5/2006,01:00
Sai Kung,N,51,17/5/2006,12:00
Sha Lo Wan,ENE,22,16/5/2006,21:00
,ENE,22,17/5/2006,00:00
Sha Tin,N,25,17/5/2006,12:00
Shek Kong,NE,20,17/5/2006,04:00
,ENE,20,17/5/2006,05:00
Star Ferry (Kowloon),WNW,38,18/5/2006,00:00
Ta Kwu Ling,NNE,36,17/5/2006,06:00
Tai Mei Tuk,NE,52,17/5/2006,05:00
Tai Mo Shan,NNW,79,17/5/2006,16:00
Tate's Cairn,NNW,96,17/5/2006,12:00
Tseung Kwan O,NNW,31,17/5/2006,14:00
Tuen Mun Government Offices,NNE,22,17/5/2006,01:00
Waglan Island,N,83,17/5/2006,13:00
Wong Chuk Hang,NW,31,18/5/2006,00:00
