Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,E,23,27/6/2006,12:00
,E,23,27/6/2006,13:00
Hong Kong International Airport,ESE,25,28/6/2006,08:00
Cheung Chau,ESE,43,28/6/2006,08:00
Green Island,E,30,27/6/2006,17:00
Kai Tak,ESE,30,28/6/2006,11:00
King's Park,ESE,16,28/6/2006,07:00
Lau Fau Shan,E,19,27/6/2006,17:00
North Point,E,23,27/6/2006,13:00
Ping Chau,E,9,27/6/2006,10:00
Sai Kung,SE,23,28/6/2006,11:00
Sha Lo Wan,E,20,28/6/2006,04:00
Sha Tin,SSE,14,28/6/2006,11:00
Shek Kong,E,19,27/6/2006,14:00
Star Ferry (Kowloon),E,25,27/6/2006,13:00
Ta Kwu Ling,ESE,16,28/6/2006,10:00
Tai Mei Tuk,E,30,28/6/2006,10:00
Tai Mo Shan,ESE,51,28/6/2006,11:00
Tate's Cairn,ESE,36,28/6/2006,05:00
,ESE,36,28/6/2006,06:00
Tseung Kwan O,SE,13,28/6/2006,11:00
Tuen Mun Government Offices,ESE,19,28/6/2006,10:00
Waglan Island,ESE,38,28/6/2006,11:00
Wong Chuk Hang,ESE,22,28/6/2006,09:00
