Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,E,54,3/8/2006,07:00
Hong Kong International Airport,ESE,72,3/8/2006,17:00
Cheung Chau,E,103,3/8/2006,17:00
Green Island,ESE,72,3/8/2006,17:00
Kai Tak,SE,58,3/8/2006,18:00
King's Park,ESE,43,3/8/2006,17:00
Lau Fau Shan,E,41,3/8/2006,04:00
North Point,E,47,3/8/2006,09:00
Ping Chau,ESE,23,3/8/2006,10:00
Sai Kung,SSE,56,3/8/2006,18:00
Sha Lo Wan,E,62,3/8/2006,17:00
Sha Tin,SSE,30,3/8/2006,19:00
,SE,30,4/8/2006,06:00
Shek Kong,E,38,3/8/2006,09:00
Star Ferry (Kowloon),ESE,58,3/8/2006,18:00
Ta Kwu Ling,ESE,36,3/8/2006,17:00
Tai Mo Shan,ESE,110,3/8/2006,18:00
Tate's Cairn,E,81,3/8/2006,00:00
Tuen Mun Government Offices,SE,38,3/8/2006,19:00
Waglan Island,SE,79,3/8/2006,18:00
Wong Chuk Hang,ESE,52,3/8/2006,18:00
