Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,E,19,10/8/2006,01:00
Hong Kong International Airport,S,23,9/8/2006,18:00
Cheung Chau,W,25,9/8/2006,20:00
Green Island,NW,23,10/8/2006,13:00
Kai Tak,ESE,22,10/8/2006,01:00
King's Park,WSW,12,9/8/2006,14:00
,WSW,12,9/8/2006,15:00
Lau Fau Shan,E,20,10/8/2006,01:00
North Point,W,16,9/8/2006,14:00
Ping Chau,WNW,7,9/8/2006,12:00
,W,7,9/8/2006,14:00
,WSW,7,9/8/2006,15:00
Sai Kung,N,16,10/8/2006,14:00
Sha Lo Wan,E,23,10/8/2006,01:00
Sha Tin,SW,13,9/8/2006,18:00
Shek Kong,WNW,7,9/8/2006,14:00
Star Ferry (Kowloon),W,22,9/8/2006,11:00
,W,22,9/8/2006,14:00
Ta Kwu Ling,WSW,9,10/8/2006,00:00
Tai Mo Shan,NE,43,10/8/2006,01:00
Tate's Cairn,NNE,34,10/8/2006,05:00
Tseung Kwan O,NNW,9,10/8/2006,14:00
Tuen Mun Government Offices,NW,12,9/8/2006,13:00
Waglan Island,W,27,9/8/2006,20:00
Wong Chuk Hang,SE,13,10/8/2006,01:00
