Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,E,23,24/8/2006,17:00
Hong Kong International Airport,ESE,30,24/8/2006,23:00
Cheung Chau,ESE,40,24/8/2006,23:00
Green Island,,6,25/8/2006,03:00
Kai Tak,ESE,23,24/8/2006,23:00
King's Park,ESE,14,24/8/2006,16:00
Lau Fau Shan,E,20,24/8/2006,14:00
North Point,E,25,24/8/2006,16:00
Ping Chau,SSE,12,25/8/2006,04:00
Sai Kung,SSE,36,25/8/2006,03:00
Sha Lo Wan,S,22,25/8/2006,03:00
,S,22,25/8/2006,04:00
Sha Tin,N,12,24/8/2006,14:00
Shek Kong,E,14,24/8/2006,14:00
Star Ferry (Kowloon),E,23,24/8/2006,16:00
Ta Kwu Ling,ESE,14,24/8/2006,17:00
Tai Mei Tuk,E,31,24/8/2006,23:00
Tai Mo Shan,E,47,24/8/2006,17:00
Tate's Cairn,SSE,40,25/8/2006,01:00
Tseung Kwan O,,13,24/8/2006,19:00
Tuen Mun Government Offices,SSE,19,25/8/2006,04:00
Waglan Island,S,45,25/8/2006,03:00
Wong Chuk Hang,ESE,16,24/8/2006,16:00
