Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,E,36,13/9/2006,08:00
Hong Kong International Airport,NE,36,13/9/2006,04:00
Cheung Chau,ESE,47,13/9/2006,13:00
Green Island,,49,13/9/2006,08:00
Kai Tak,ENE,30,13/9/2006,09:00
King's Park,ENE,23,13/9/2006,09:00
Lau Fau Shan,ENE,20,12/9/2006,17:00
,NE,20,13/9/2006,03:00
North Point,ENE,31,13/9/2006,09:00
Ping Chau,E,13,13/9/2006,06:00
Sai Kung,NE,38,13/9/2006,10:00
Sha Lo Wan,NE,22,13/9/2006,02:00
Sha Tin,N,19,13/9/2006,09:00
Shek Kong,E,16,13/9/2006,15:00
Star Ferry (Kowloon),ESE,27,13/9/2006,11:00
Ta Kwu Ling,NNE,19,12/9/2006,16:00
Tai Mei Tuk,NNE,45,13/9/2006,09:00
Tai Mo Shan,E,65,13/9/2006,09:00
Tate's Cairn,ENE,63,13/9/2006,09:00
Tseung Kwan O,NNE,22,13/9/2006,09:00
Tuen Mun Government Offices,NNE,20,13/9/2006,04:00
Waglan Island,E,68,13/9/2006,07:00
Wong Chuk Hang,ESE,27,13/9/2006,07:00
