Station,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,NE,20,1/11/2006,13:00
Hong Kong International Airport,NNE,34,1/11/2006,06:00
,N,34,1/11/2006,16:00
Cheung Chau,N,45,1/11/2006,18:00
Green Island,NNE,51,1/11/2006,18:00
Kai Tak,N,31,1/11/2006,20:00
King's Park,NNE,23,1/11/2006,09:00
Lau Fau Shan,N,34,1/11/2006,16:00
North Point,NNE,27,1/11/2006,20:00
Ping Chau,N,9,1/11/2006,10:00
Sai Kung,N,40,1/11/2006,09:00
,N,40,1/11/2006,10:00
Sha Lo Wan,NE,25,1/11/2006,06:00
Sha Tin,NE,22,1/11/2006,09:00
Shek Kong,NNE,23,1/11/2006,06:00
Star Ferry (Kowloon),ESE,20,2/11/2006,22:00
Ta Kwu Ling,NNE,25,1/11/2006,12:00
Tai Mei Tuk,NNE,45,1/11/2006,04:00
Tai Mo Shan,NNE,67,1/11/2006,17:00
Tate's Cairn,N,22,1/11/2006,06:00
Tseung Kwan O,NE,16,1/11/2006,09:00
Tuen Mun Government Offices,NNE,14,2/11/2006,09:00
,NNE,14,2/11/2006,10:00
Waglan Island,N,51,1/11/2006,18:00
Wong Chuk Hang,NNW,19,1/11/2006,20:00
