Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,ENE,68,9/8/2007,447,ENE,36,9/8/2007,06:00
Central Plaza,NNE,113,9/8/2007,425,NNE,75,9/8/2007,05:00
Hong Kong International Airport,NNE,67,9/8/2007,502,NNE,47,9/8/2007,06:00
Cheung Chau,N,112,9/8/2007,456,NNE,67,9/8/2007,06:00
Cheung Sha Wan,NE,67,9/8/2007,443,NNE,23,9/8/2007,05:00
Kai Tak,ENE,76,9/8/2007,451,NE,34,9/8/2007,05:00
King's Park,ENE,68,9/8/2007,503,NNE,30,9/8/2007,05:00
Lau Fau Shan,NNE,54,9/8/2007,508,NE,31,9/8/2007,06:00
Ngong Ping,NE,103,9/8/2007,545,ENE,70,9/8/2007,06:00
North Point,NE,76,9/8/2007,438,ENE,45,9/8/2007,05:00
Peng Chau,NNE,79,9/8/2007,457,NE,51,9/8/2007,06:00
Ping Chau,E,58,9/8/2007,455,E,19,9/8/2007,05:00
Sai Kung,NNE,72,9/8/2007,334,NNE,40,9/8/2007,04:00
,NE,40,9/8/2007,500,,,,
Sha Lo Wan,NNE,58,9/8/2007,506,NE,34,9/8/2007,07:00
Sha Chau,NNW,79,9/8/2007,344,NNW,51,9/8/2007,04:00
Sha Tin,NNE,54,9/8/2007,438,NNE,23,9/8/2007,05:00
Star Ferry (Kowloon),ENE,58,9/8/2007,439,W,25,9/8/2007,01:00
Ta Kwu Ling,NNE,52,9/8/2007,417,NE,22,9/8/2007,06:00
Tai Mei Tuk,ENE,85,9/8/2007,546,ENE,56,9/8/2007,06:00
Tai Mo Shan,ENE,103,9/8/2007,444,ENE,70,9/8/2007,05:00
Tap Mun,ENE,70,9/8/2007,411,ENE,38,9/8/2007,05:00
Tate's Cairn,NE,118,9/8/2007,355,NE,75,9/8/2007,05:00
Tsak Yue Wu,NNE,45,8/8/2007,1638,NNE,19,9/8/2007,04:00
Tseung Kwan O,NE,63,9/8/2007,430,NNE,30,9/8/2007,05:00
"Ching Pak House, Tsing Yi",NE,70,9/8/2007,508,NE,40,9/8/2007,06:00
Tsing Yi Shell Oil Depot,N,49,9/8/2007,250,NNW,19,9/8/2007,03:00
Tuen Mun Government Offices,WNW,47,8/8/2007,1632,N,14,9/8/2007,07:00
,WNW,47,8/8/2007,1633,,,,
Waglan Island,NNE,108,9/8/2007,413,NE,79,9/8/2007,05:00
Wetland Park,NE,43,9/8/2007,555,NNE,23,9/8/2007,06:00
Wong Chuk Hang,E,88,9/8/2007,447,ESE,31,9/8/2007,06:00
