Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,ENE,62,24/9/2007,321,E,41,24/9/2007,04:00
,ENE,62,24/9/2007,330,,,,
Central Plaza,NE,88,24/9/2007,301,ENE,62,24/9/2007,03:00
,,,,,ENE,62,24/9/2007,04:00
Hong Kong International Airport,SE,67,24/9/2007,815,NE,36,23/9/2007,23:00
Cheung Chau,ESE,96,24/9/2007,738,E,54,24/9/2007,08:00
Cheung Sha Wan,NNE,54,24/9/2007,207,ENE,19,24/9/2007,08:00
Green Island,ENE,90,24/9/2007,255,ENE,54,24/9/2007,04:00
Kai Tak,NNE,67,23/9/2007,514,N,30,23/9/2007,06:00
King's Park,ENE,59,23/9/2007,2143,ENE,23,23/9/2007,23:00
,,,,,ENE,23,24/9/2007,00:00
Lau Fau Shan,ENE,49,24/9/2007,808,N,31,23/9/2007,16:00
Ngong Ping,ENE,137,24/9/2007,414,E,90,24/9/2007,05:00
North Point,E,72,24/9/2007,257,ENE,31,24/9/2007,01:00
,,,,,E,31,24/9/2007,08:00
Peng Chau,ESE,76,24/9/2007,814,E,45,24/9/2007,04:00
Ping Chau,E,47,24/9/2007,346,E,14,24/9/2007,04:00
Sai Kung,NE,72,24/9/2007,309,ENE,38,24/9/2007,04:00
Sha Lo Wan,SE,65,24/9/2007,814,E,31,24/9/2007,05:00
Sha Chau,SSE,75,24/9/2007,821,SE,38,24/9/2007,09:00
Sha Tin,NE,52,24/9/2007,148,ENE,20,24/9/2007,03:00
Shek Kong,E,54,24/9/2007,716,E,25,24/9/2007,08:00
Star Ferry (Kowloon),E,56,24/9/2007,707,E,30,24/9/2007,08:00
Ta Kwu Ling,NNE,45,23/9/2007,1025,N,23,23/9/2007,17:00
,NNE,45,23/9/2007,1606,,,,
Tai Mei Tuk,NNE,81,23/9/2007,2113,ENE,45,24/9/2007,08:00
,N,81,23/9/2007,2117,,,,
Tai Mo Shan,E,96,24/9/2007,734,E,68,24/9/2007,08:00
Tap Mun,SE,56,24/9/2007,901,ENE,31,24/9/2007,03:00
Tate's Cairn,NE,108,23/9/2007,2055,NE,76,23/9/2007,21:00
Tsak Yue Wu,NNE,51,23/9/2007,929,NNE,23,23/9/2007,03:00
Tseung Kwan O,SE,58,24/9/2007,816,NNE,16,24/9/2007,00:00
,,,,,ENE,16,24/9/2007,02:00
"Ching Pak House, Tsing Yi",E,70,24/9/2007,722,ENE,36,24/9/2007,04:00
Tsing Yi Shell Oil Depot,ESE,51,24/9/2007,820,SE,16,24/9/2007,09:00
Tuen Mun Government Offices,ESE,43,24/9/2007,823,NNE,14,23/9/2007,20:00
Waglan Island,ENE,90,24/9/2007,237,ENE,68,23/9/2007,23:00
Wetland Park,E,43,24/9/2007,759,E,20,24/9/2007,09:00
Wong Chuk Hang,SE,75,24/9/2007,800,E,31,24/9/2007,04:00
