Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),E,85,19/4/2008,18:48,E,56,19/4/2008,19:00
Central Pier,SE,72,19/4/2008,21:32,E,43,19/4/2008,16:00
Hong Kong International Airport,SW,104,19/4/2008,18:19,SSW,56,19/4/2008,21:00
,,,,,S,56,19/4/2008,22:00
Cheung Chau,ESE,117,19/4/2008,15:21,ESE,76,19/4/2008,16:00
Cheung Sha Wan ,ESE,45,18/4/2008,21:09,E,16,18/4/2008,20:00
,,,,,E,16,18/4/2008,21:00
,,,,,ENE,16,19/4/2008,03:00
Green Island,NE,96,19/4/2008,14:27,SSW,70,19/4/2008,22:00
Kai Tak,ESE,83,19/4/2008,13:59,E,45,19/4/2008,15:00
King's Park,S,77,19/4/2008,20:28,E,27,19/4/2008,18:00
Lau Fau Shan,S,77,19/4/2008,22:16,S,40,19/4/2008,23:00
Ngong Ping,E,191,19/4/2008,14:51,E,135,19/4/2008,15:00
North Point,E,62,19/4/2008,13:08,E,30,17/4/2008,22:00
Peng Chau,E,94,19/4/2008,14:40,E,70,19/4/2008,15:00
Ping Chau,E,75,19/4/2008,15:38,E,30,19/4/2008,16:00
Sai Kung,SE,67,19/4/2008,19:24,S,38,19/4/2008,23:00
Sha Chau,S,104,19/4/2008,18:42,SSW,63,19/4/2008,22:00
Sha Lo Wan,E,96,19/4/2008,14:38,E,45,19/4/2008,15:00
Sha Tin,SSW,65,19/4/2008,21:49,SSW,30,19/4/2008,23:00
Shek Kong,E,72,19/4/2008,15:21,E,41,19/4/2008,16:00
Star Ferry (Kowloon),ESE,67,19/4/2008,15:29,ESE,41,19/4/2008,16:00
Ta Kwu Ling,E,62,19/4/2008,18:28,E,25,19/4/2008,15:00
Tai Mei Tuk,ENE,87,19/4/2008,16:45,ENE,62,19/4/2008,17:00
Tai Mo Shan,ESE,128,19/4/2008,15:20,ESE,90,19/4/2008,15:00
Tap Mun,ESE,85,19/4/2008,18:52,E,41,19/4/2008,17:00
Tate's Cairn,ESE,94,19/4/2008,15:17,ESE,58,19/4/2008,16:00
Tsak Yue Wu,ENE,58,19/4/2008,15:04,ENE,25,19/4/2008,15:00
Tseung Kwan O,ESE,68,19/4/2008,19:01,SSW,20,19/4/2008,22:00
Tsing Yi Shell Oil Depot,ESE,68,19/4/2008,15:20,SSE,36,19/4/2008,20:00
Tuen Mun Government Offices,SSE,72,19/4/2008,18:59,SSE,31,19/4/2008,20:00
Waglan Island,E,104,19/4/2008,16:32,SSE,76,19/4/2008,21:00
Wetland Park,E,51,19/4/2008,14:33,E,23,19/4/2008,13:00
,,,,,E,23,19/4/2008,14:00
Wong Chuk Hang,ESE,83,19/4/2008,14:08,ESE,38,19/4/2008,16:00
