Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),SW,113,25/6/2008,05:43,WSW,72,25/6/2008,07:00
Central Pier,W,68,25/6/2008,03:57,W,45,25/6/2008,04:00
,WSW,68,25/6/2008,18:09,,,,
Hong Kong International Airport,SW,85,25/6/2008,07:13,SW,59,25/6/2008,08:00
Cheung Chau,WSW,108,25/6/2008,06:11,WSW,70,25/6/2008,07:00
Cheung Sha Wan,WSW,76,25/6/2008,06:50,WSW,38,25/6/2008,07:00
Kai Tak,SSW,104,25/6/2008,06:19,SW,54,25/6/2008,07:00
King's Park,SW,96,25/6/2008,06:40,SW,31,25/6/2008,07:00
Lau Fau Shan,WNW,88,25/6/2008,05:22,WSW,65,25/6/2008,08:00
,WNW,88,25/6/2008,05:29,,,,
Ngong Ping,WSW,189,25/6/2008,06:54,W,140,25/6/2008,08:00
North Point,W,83,25/6/2008,06:17,W,45,25/6/2008,07:00
Peng Chau,NW,87,25/6/2008,02:48,NW,59,25/6/2008,04:00
Ping Chau,NE,63,25/6/2008,02:39,SW,25,25/6/2008,07:00
Sai Kung,NNE,87,24/6/2008,22:09,NE,47,24/6/2008,21:00
Sha Chau,NNW,99,25/6/2008,03:08,NNW,59,25/6/2008,03:00
Sha Lo Wan,SW,96,25/6/2008,06:29,SW,49,25/6/2008,08:00
Sha Tin,N,72,25/6/2008,00:45,SW,31,25/6/2008,07:00
Shek Kong,ENE,51,24/6/2008,19:14,ENE,25,24/6/2008,20:00
Star Ferry (Kowloon),W,99,25/6/2008,12:43,WSW,51,25/6/2008,07:00
Ta Kwu Ling,NNE,59,25/6/2008,01:30,N,23,25/6/2008,01:00
Tai Mo Shan,SW,122,25/6/2008,07:49,SW,85,25/6/2008,09:00
,SW,122,25/6/2008,07:50,,,,
Tate's Cairn,SW,130,25/6/2008,06:34,N,76,25/6/2008,01:00
Tsak Yue Wu,NNE,92,25/6/2008,01:29,NNE,30,25/6/2008,02:00
Tseung Kwan O,SW,70,25/6/2008,06:31,NE,23,24/6/2008,21:00
Tsing Yi Shell Oil Depot,-,81,25/6/2008,06:19,-,45,25/6/2008,07:00
Tuen Mun Government Offices,SW,88,25/6/2008,08:09,SW,30,25/6/2008,09:00
Waglan Island,WSW,122,25/6/2008,05:49,WSW,99,25/6/2008,07:00
,WSW,122,25/6/2008,05:54,,,,
Wetland Park,NNW,58,25/6/2008,03:00,NNW,30,25/6/2008,03:00
Wong Chuk Hang,WSW,77,25/6/2008,06:29,WNW,31,25/6/2008,07:00
