Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),NNE,113,6/8/2008,03:41,ENE,62,6/8/2008,09:00
Central Pier,E,96,6/8/2008,08:28,E,56,6/8/2008,08:00
Cheung Chau,NE,124,6/8/2008,09:13,ENE,83,6/8/2008,10:00
Cheung Sha Wan ,NE,96,6/8/2008,08:14,NE,31,6/8/2008,05:00
,,,,,NE,31,6/8/2008,06:00
Green Island,ENE,126,6/8/2008,06:56,ENE,56,6/8/2008,08:00
Hong Kong International Airport,E,90,6/8/2008,08:44,E,58,6/8/2008,12:00
Kai Tak,NE,101,6/8/2008,05:26,E,47,6/8/2008,11:00
King's Park,ESE,85,6/8/2008,10:32,E,36,6/8/2008,10:00
Lau Fau Shan,E,92,6/8/2008,10:25,E,47,6/8/2008,12:00
,E,92,6/8/2008,11:43,,,,
Ngong Ping,ENE,227,6/8/2008,10:09,E,166,6/8/2008,11:00
North Point,E,101,6/8/2008,08:03,E,52,6/8/2008,09:00
Peng Chau,NE,112,6/8/2008,07:12,ENE,75,6/8/2008,09:00
Ping Chau,ENE,75,6/8/2008,05:59,E,25,6/8/2008,06:00
Sai Kung,NE,104,6/8/2008,07:23,ENE,58,6/8/2008,08:00
Sha Chau,E,83,6/8/2008,12:12,E,54,6/8/2008,13:00
Sha Lo Wan,E,103,6/8/2008,08:27,E,54,6/8/2008,12:00
Sha Tin,NE,77,6/8/2008,08:41,NE,30,6/8/2008,09:00
Shek Kong,E,92,6/8/2008,10:29,E,40,6/8/2008,10:00
,,,,,E,40,6/8/2008,12:00
Star Ferry (Kowloon),ESE,90,6/8/2008,10:24,E,54,6/8/2008,10:00
Ta Kwu Ling,ENE,85,6/8/2008,09:12,ENE,31,6/8/2008,08:00
Tai Mo Shan,E,146,6/8/2008,08:56,E,96,6/8/2008,11:00
Tate's Cairn,E,142,6/8/2008,06:25,E,96,6/8/2008,11:00
,E,142,6/8/2008,10:08,,,,
Tsak Yue Wu,ENE,65,6/8/2008,07:35,NE,20,5/8/2008,23:00
Tseung Kwan O,NE,85,6/8/2008,05:26,NE,27,6/8/2008,03:00
Tsing Yi Shell Oil Depot,ESE,85,6/8/2008,10:13,ESE,31,6/8/2008,11:00
Tuen Mun Government Offices,SE,79,6/8/2008,19:59,SE,31,6/8/2008,22:00
Waglan Island,E,140,6/8/2008,06:44,E,96,6/8/2008,07:00
Wetland Park,E,75,6/8/2008,11:19,ENE,34,6/8/2008,08:00
Wong Chuk Hang,ESE,101,6/8/2008,10:17,ESE,45,6/8/2008,12:00
