Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),NE,131,23/9/2008,18:55,E,77,24/9/2008,02:00
Central Pier,ENE,118,23/9/2008,19:55,E,76,23/9/2008,23:00
Cheung Chau,NE,153,23/9/2008,22:40,-,108,24/9/2008,02:00
Cheung Sha Wan,ENE,133,23/9/2008,22:08,ENE,40,23/9/2008,23:00
Green Island,NE,157,23/9/2008,20:55,NNE,70,23/9/2008,17:00
Hong Kong International Airport,E,121,23/9/2008,22:53,E,76,24/9/2008,03:00
Kai Tak,ENE,131,24/9/2008,00:19,E,54,24/9/2008,00:00
King's Park,NE,112,23/9/2008,20:22,ESE,49,24/9/2008,02:00
Lau Fau Shan,E,112,23/9/2008,22:55,E,59,23/9/2008,23:00
Ngong Ping,E,194,24/9/2008,01:47,E,148,24/9/2008,02:00
North Point,E,130,23/9/2008,21:30,E,65,23/9/2008,23:00
Peng Chau,ENE,137,23/9/2008,22:14,ENE,90,23/9/2008,23:00
Ping Chau,E,101,23/9/2008,21:19,E,45,23/9/2008,21:00
Sai Kung,ENE,117,23/9/2008,19:41,ENE,72,23/9/2008,22:00
Sha Chau,SE,115,24/9/2008,02:30,ESE,77,24/9/2008,03:00
Sha Lo Wan,ENE,126,23/9/2008,23:54,E,70,23/9/2008,23:00
Sha Tin,NE,96,23/9/2008,21:59,ENE,34,23/9/2008,23:00
Shek Kong,ESE,103,23/9/2008,23:09,E,52,24/9/2008,01:00
Star Ferry (Kowloon),E,108,23/9/2008,23:21,E,62,24/9/2008,01:00
Ta Kwu Ling,ENE,88,23/9/2008,22:29,E,38,24/9/2008,03:00
,,,,,E,38,24/9/2008,04:00
Tai Mei Tuk,ENE,137,23/9/2008,22:42,ENE,96,23/9/2008,23:00
Tai Mo Shan,E,173,23/9/2008,22:57,E,113,24/9/2008,01:00
Tate's Cairn,-,171,23/9/2008,19:17,-,110,23/9/2008,23:00
Tsak Yue Wu,E,77,24/9/2008,00:42,NE,25,23/9/2008,18:00
,ESE,77,24/9/2008,03:03,,,,
Tseung Kwan O,NE,101,23/9/2008,18:10,NNE,36,23/9/2008,18:00
Tsing Yi Shell Oil Depot,ESE,99,24/9/2008,01:53,ESE,40,24/9/2008,00:00
,,,,,ESE,40,24/9/2008,02:00
Tuen Mun Government Offices,SE,101,24/9/2008,02:21,SE,36,24/9/2008,04:00
Waglan Island,ENE,139,23/9/2008,21:59,NE,108,23/9/2008,19:00
Wetland Park,E,103,23/9/2008,22:49,E,43,23/9/2008,23:00
Wong Chuk Hang,SE,126,23/9/2008,23:23,ESE,58,24/9/2008,01:00
