Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),NNE,56,3/10/2008,23:57,NE,34,3/10/2008,20:00
Central Pier,ENE,45,3/10/2008,13:45,E,31,3/10/2008,06:00
,,,,,E,31,4/10/2008,01:00
Cheung Chau,E,62,4/10/2008,03:10,E,38,4/10/2008,08:00
Cheung Sha Wan ,NE,34,3/10/2008,12:17,ENE,13,3/10/2008,09:00
Green Island,ENE,65,3/10/2008,08:23,ENE,51,3/10/2008,13:00
,ENE,65,3/10/2008,12:29,,,,
Hong Kong International Airport,S,54,4/10/2008,18:05,SE,31,4/10/2008,14:00
Kai Tak,ENE,54,3/10/2008,13:36,E,30,3/10/2008,20:00
King's Park,E,41,3/10/2008,15:07,E,20,3/10/2008,13:00
Lau Fau Shan,E,49,3/10/2008,12:17,SSE,31,4/10/2008,15:00
Ngong Ping,SW,110,4/10/2008,22:11,E,59,4/10/2008,01:00
North Point,E,47,4/10/2008,01:24,E,25,3/10/2008,17:00
,,,,,E,25,4/10/2008,01:00
Peng Chau,ENE,52,3/10/2008,14:04,ENE,36,4/10/2008,01:00
,ENE,52,3/10/2008,14:08,,,,
Ping Chau,E,43,3/10/2008,13:57,E,16,3/10/2008,14:00
Sai Kung,ENE,45,3/10/2008,19:55,ENE,31,3/10/2008,20:00
Sha Chau,SSE,54,4/10/2008,16:22,SSE,34,4/10/2008,17:00
Sha Lo Wan,SE,49,4/10/2008,22:12,E,27,3/10/2008,15:00
Sha Tin,ESE,31,4/10/2008,09:43,SE,16,4/10/2008,14:00
,,,,,SE,16,4/10/2008,16:00
Shek Kong,E,49,3/10/2008,12:58,E,23,3/10/2008,15:00
Star Ferry (Kowloon),ESE,43,3/10/2008,18:44,E,25,3/10/2008,13:00
,,,,,ESE,25,3/10/2008,15:00
Ta Kwu Ling,SE,36,4/10/2008,14:35,SE,14,4/10/2008,15:00
Tai Mei Tuk,E,52,3/10/2008,20:08,E,34,3/10/2008,19:00
Tai Mo Shan,E,81,4/10/2008,03:06,E,54,4/10/2008,03:00
Tate's Cairn,-,70,4/10/2008,01:08,-,41,3/10/2008,15:00
Tsak Yue Wu,E,36,3/10/2008,13:20,ENE,13,3/10/2008,11:00
,,,,,ENE,13,4/10/2008,00:00
Tseung Kwan O,E,38,3/10/2008,12:04,NNE,14,3/10/2008,09:00
Tsing Yi Shell Oil Depot,SE,40,4/10/2008,13:48,ESE,23,4/10/2008,19:00
,SE,40,4/10/2008,13:49,,,,
Tuen Mun Government Offices,ESE,47,4/10/2008,07:13,SE,22,4/10/2008,22:00
Waglan Island,E,56,3/10/2008,14:35,E,49,3/10/2008,23:00
,E,56,3/10/2008,18:18,,,,
,E,56,3/10/2008,18:31,,,,
Wetland Park,SSE,40,4/10/2008,15:42,SSE,20,4/10/2008,16:00
Wong Chuk Hang,E,58,4/10/2008,00:44,E,25,3/10/2008,13:00
,,,,,E,25,4/10/2008,01:00
