Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ENE,62,26/6/2009,14:16,E,30,26/6/2009,15:00
Central Pier,E,56,26/6/2009,11:41,E,30,26/6/2009,16:00
Cheung Chau,E,58,26/6/2009,12:03,E,31,26/6/2009,15:00
Hong Kong International Airport,ESE,51,26/6/2009,14:48,NW,31,27/6/2009,00:00
Kai Tak,NE,62,26/6/2009,12:00,W,25,26/6/2009,23:00
King's Park,ESE,47,26/6/2009,12:17,ENE,16,26/6/2009,18:00
Lau Fau Shan,WNW,49,27/6/2009,02:08,WNW,31,27/6/2009,02:00
,,,,,WNW,31,27/6/2009,03:00
Ngong Ping,E,83,26/6/2009,15:38,E,59,26/6/2009,13:00
North Point,E,63,26/6/2009,18:01,E,27,26/6/2009,15:00
,,,,,W,27,27/6/2009,01:00
,,,,,W,27,27/6/2009,02:00
Peng Chau,E,63,26/6/2009,12:29,NW,38,27/6/2009,00:00
Ping Chau,E,68,26/6/2009,14:43,W,31,27/6/2009,02:00
Sai Kung,ENE,65,26/6/2009,17:55,ENE,30,26/6/2009,12:00
,,,,,NE,30,26/6/2009,17:00
Sha Chau,ENE,56,26/6/2009,12:43,N,25,26/6/2009,21:00
Sha Lo Wan,E,56,26/6/2009,12:47,E,30,26/6/2009,13:00
Sha Tin,E,47,26/6/2009,16:09,NE,19,26/6/2009,16:00
Shek Kong,E,49,26/6/2009,12:22,E,19,26/6/2009,15:00
Star Ferry (Kowloon),SE,56,26/6/2009,12:15,WNW,30,27/6/2009,00:00
Ta Kwu Ling,E,49,26/6/2009,15:39,E,19,26/6/2009,16:00
Tai Mei Tuk,E,79,26/6/2009,18:05,NE,38,26/6/2009,19:00
Tai Mo Shan,E,77,26/6/2009,15:19,W,54,27/6/2009,03:00
Tap Mun,WNW,70,26/6/2009,22:55,W,40,27/6/2009,00:00
Tate's Cairn,E,83,26/6/2009,16:37,E,51,26/6/2009,17:00
Tsak Yue Wu,NE,41,26/6/2009,14:50,N,14,26/6/2009,21:00
Tseung Kwan O,NE,43,26/6/2009,17:54,NNE,16,26/6/2009,18:00
Tsing Yi Shell Oil Depot,ESE,38,26/6/2009,12:08,NNW,14,26/6/2009,22:00
,,,,,NW,14,26/6/2009,23:00
,,,,,NW,14,27/6/2009,00:00
Tuen Mun Government Offices,WNW,49,27/6/2009,03:21,WNW,14,27/6/2009,04:00
Waglan Island,ENE,75,26/6/2009,12:15,ENE,52,26/6/2009,18:00
Wetland Park,WNW,36,26/6/2009,23:57,NW,19,26/6/2009,23:00
Wong Chuk Hang,SE,54,26/6/2009,15:02,E,23,26/6/2009,15:00
