Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ENE,72,11/7/2009,13:21,E,40,11/7/2009,18:00
Central Pier,E,58,11/7/2009,13:40,E,38,11/7/2009,14:00
Cheung Chau,SE,79,11/7/2009,16:03,ESE,43,12/7/2009,03:00
Cheung Sha Wan,NE,54,11/7/2009,09:02,ENE,19,11/7/2009,10:00
Hong Kong International Airport,E,62,11/7/2009,16:18,E,34,11/7/2009,13:00
Kai Tak,E,76,11/7/2009,11:19,E,34,11/7/2009,13:00
King's Park,E,63,11/7/2009,12:25,E,27,11/7/2009,14:00
Lau Fau Shan,E,62,11/7/2009,15:58,E,34,11/7/2009,16:00
Ngong Ping,E,96,11/7/2009,18:12,E,75,11/7/2009,18:00
North Point,E,67,11/7/2009,14:55,E,31,11/7/2009,13:00
Peng Chau,ENE,67,11/7/2009,12:51,ENE,45,11/7/2009,14:00
Ping Chau,E,52,11/7/2009,13:44,E,16,11/7/2009,14:00
Sai Kung,NE,58,11/7/2009,12:02,ENE,40,11/7/2009,15:00
,ENE,58,11/7/2009,14:38,,,,
,ENE,58,11/7/2009,14:39,,,,
Sha Chau,SSE,52,11/7/2009,14:42,E,36,11/7/2009,14:00
Sha Lo Wan,E,54,11/7/2009,14:02,E,31,11/7/2009,14:00
,E,54,12/7/2009,02:32,,,,
Sha Tin,NNE,47,11/7/2009,14:14,ENE,19,11/7/2009,16:00
Shek Kong,E,56,11/7/2009,11:07,E,30,11/7/2009,01:00
Star Ferry (Kowloon),E,51,11/7/2009,22:44,E,30,11/7/2009,18:00
,,,,,E,30,11/7/2009,23:00
Ta Kwu Ling,ENE,45,11/7/2009,11:03,ENE,20,11/7/2009,15:00
Tai Mei Tuk,SE,70,11/7/2009,16:04,E,51,11/7/2009,15:00
Tai Mo Shan,ESE,90,11/7/2009,17:10,E,59,11/7/2009,18:00
Tap Mun,SE,59,11/7/2009,15:58,ESE,25,11/7/2009,18:00
Tate's Cairn,E,81,11/7/2009,10:34,E,52,11/7/2009,11:00
Tsak Yue Wu,ENE,43,11/7/2009,14:52,ENE,16,11/7/2009,15:00
Tseung Kwan O,E,54,11/7/2009,15:01,E,16,11/7/2009,13:00
Tsing Yi Shell Oil Depot,SE,47,12/7/2009,04:08,E,19,11/7/2009,15:00
Tuen Mun Government Offices,SE,51,11/7/2009,16:32,ESE,20,11/7/2009,01:00
Waglan Island,E,72,11/7/2009,14:15,NE,49,11/7/2009,11:00
,,,,,ENE,49,11/7/2009,14:00
Wetland Park,E,52,11/7/2009,15:41,E,25,11/7/2009,16:00
Wong Chuk Hang,E,58,11/7/2009,13:05,E,30,11/7/2009,14:00
