Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),W,96,19/7/2009,02:27,W,58,19/7/2009,03:00
Central Pier,WSW,92,19/7/2009,03:29,W,45,19/7/2009,01:00
Cheung Chau,WSW,103,19/7/2009,02:56,W,63,19/7/2009,03:00
Cheung Sha Wan,SW,79,19/7/2009,03:44,SW,47,19/7/2009,04:00
Hong Kong International Airport,SW,99,19/7/2009,04:00,SW,68,19/7/2009,04:00
Kai Tak,W,88,19/7/2009,01:17,W,54,19/7/2009,02:00
,W,88,19/7/2009,01:35,,,,
King's Park,W,96,19/7/2009,01:40,W,40,19/7/2009,02:00
Lau Fau Shan,WNW,124,19/7/2009,02:42,WNW,90,19/7/2009,03:00
Ngong Ping,W,137,19/7/2009,03:07,WSW,96,19/7/2009,04:00
North Point,W,103,19/7/2009,01:25,W,58,19/7/2009,02:00
Peng Chau,WNW,112,19/7/2009,01:04,WNW,67,19/7/2009,02:00
Ping Chau,SW,99,19/7/2009,02:04,NW,31,19/7/2009,01:00
Sai Kung,WNW,92,19/7/2009,00:52,S,51,19/7/2009,04:00
Sha Chau,SSW,96,19/7/2009,04:25,SSW,72,19/7/2009,05:00
Sha Lo Wan,SW,94,19/7/2009,03:41,SW,54,19/7/2009,05:00
,SW,94,19/7/2009,04:10,,,,
Sha Tin,SW,90,19/7/2009,02:15,SSW,45,19/7/2009,03:00
Shek Kong,W,77,19/7/2009,02:21,WSW,31,19/7/2009,03:00
Star Ferry (Kowloon),W,103,19/7/2009,01:15,W,72,19/7/2009,02:00
Ta Kwu Ling,W,92,19/7/2009,01:51,W,38,19/7/2009,03:00
Tai Mei Tuk,W,144,19/7/2009,01:19,W,72,19/7/2009,02:00
,,,,,WSW,72,19/7/2009,03:00
Tai Mo Shan,W,155,19/7/2009,01:41,W,104,19/7/2009,02:00
Tap Mun,WNW,148,19/7/2009,01:03,WNW,77,19/7/2009,01:00
Tate's Cairn,NW,128,19/7/2009,00:39,NW,79,19/7/2009,01:00
Tsak Yue Wu,WNW,67,19/7/2009,00:37,WNW,23,19/7/2009,01:00
Tseung Kwan O,S,59,19/7/2009,03:26,S,22,19/7/2009,04:00
Tsing Yi Shell Oil Depot,W,99,19/7/2009,02:19,WSW,51,19/7/2009,03:00
Tuen Mun Government Offices,WNW,103,19/7/2009,01:28,WNW,41,19/7/2009,02:00
Waglan Island,WSW,122,19/7/2009,01:50,SSW,92,19/7/2009,04:00
Wetland Park,SSW,77,19/7/2009,04:05,WNW,27,19/7/2009,02:00
Wong Chuk Hang,WNW,72,19/7/2009,01:11,WNW,30,19/7/2009,02:00
