Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ENE,72,3/8/2009,23:15,ESE,45,4/8/2009,20:00
Central Pier,ENE,65,4/8/2009,12:28,E,43,3/8/2009,23:00
Cheung Chau,ESE,85,4/8/2009,18:47,ESE,67,4/8/2009,20:00
Cheung Sha Wan,NE,54,4/8/2009,08:37,NE,19,3/8/2009,22:00
,,,,,ENE,19,4/8/2009,15:00
,,,,,ENE,19,4/8/2009,19:00
Green Island,NE,83,4/8/2009,17:57,NE,56,4/8/2009,16:00
Hong Kong International Airport,S,72,5/8/2009,11:26,ESE,45,4/8/2009,21:00
Kai Tak,E,65,4/8/2009,13:31,ESE,34,5/8/2009,01:00
King's Park,ESE,58,4/8/2009,15:44,ESE,25,4/8/2009,20:00
,,,,,ESE,25,4/8/2009,21:00
Lau Fau Shan,SSE,58,5/8/2009,10:56,E,30,4/8/2009,19:00
Ngong Ping,E,117,4/8/2009,22:36,E,87,4/8/2009,20:00
North Point,-,68,3/8/2009,22:49,-,34,3/8/2009,23:00
Peng Chau,ENE,63,4/8/2009,14:02,ENE,45,4/8/2009,17:00
,ENE,63,4/8/2009,14:34,,,,
,SSE,63,5/8/2009,10:33,,,,
Ping Chau,E,58,4/8/2009,14:55,E,16,4/8/2009,12:00
,,,,,E,16,4/8/2009,15:00
Sai Kung,ENE,70,4/8/2009,11:43,SSE,41,5/8/2009,10:00
Sha Chau,S,68,5/8/2009,11:43,ESE,51,4/8/2009,20:00
Sha Lo Wan,ESE,79,4/8/2009,20:43,E,40,4/8/2009,19:00
Sha Tin,NE,54,4/8/2009,05:52,SE,25,4/8/2009,22:00
Shek Kong,NE,59,4/8/2009,12:04,E,30,3/8/2009,18:00
Star Ferry (Kowloon),ESE,62,4/8/2009,20:06,E,38,4/8/2009,20:00
Ta Kwu Ling,E,51,4/8/2009,20:16,E,22,4/8/2009,21:00
Tai Mei Tuk,WSW,77,4/8/2009,12:09,E,45,4/8/2009,18:00
,,,,,E,45,4/8/2009,20:00
Tai Mo Shan,E,99,4/8/2009,18:59,E,67,4/8/2009,20:00
Tap Mun,SE,62,5/8/2009,12:41,SE,38,5/8/2009,00:00
Tate's Cairn,E,87,3/8/2009,22:54,E,56,4/8/2009,11:00
,E,87,3/8/2009,23:35,,,,
Tsak Yue Wu,E,43,4/8/2009,12:21,ENE,14,4/8/2009,13:00
Tseung Kwan O,ESE,58,4/8/2009,21:42,SE,19,4/8/2009,22:00
Tsing Yi Shell Oil Depot,E,52,4/8/2009,20:18,SE,25,5/8/2009,12:00
Tuen Mun Government Offices,SE,62,4/8/2009,21:17,SE,25,5/8/2009,11:00
,,,,,SE,25,5/8/2009,15:00
Waglan Island,ESE,76,4/8/2009,20:24,ENE,58,4/8/2009,11:00
Wetland Park,E,45,4/8/2009,20:01,ESE,20,3/8/2009,17:00
,,,,,E,20,4/8/2009,15:00
,,,,,E,20,4/8/2009,20:00
Wong Chuk Hang,SSE,70,4/8/2009,17:24,E,31,3/8/2009,23:00
