Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ENE,79,10/9/2009,18:03,ENE,43,10/9/2009,20:00
Central Pier,E,67,10/9/2009,20:07,E,47,10/9/2009,17:00
Cheung Chau,ESE,79,10/9/2009,20:28,E,51,10/9/2009,22:00
Cheung Sha Wan,E,52,10/9/2009,19:21,E,20,10/9/2009,17:00
Green Island,NE,96,10/9/2009,16:17,NE,65,10/9/2009,17:00
Hong Kong International Airport,E,56,10/9/2009,20:44,E,36,10/9/2009,23:00
Kai Tak,E,72,10/9/2009,20:04,E,34,10/9/2009,17:00
King's Park,ESE,62,10/9/2009,18:27,E,25,10/9/2009,21:00
Lau Fau Shan,E,56,10/9/2009,17:22,E,30,10/9/2009,14:00
Ngong Ping,ENE,110,10/9/2009,19:44,E,77,10/9/2009,21:00
North Point,E,72,10/9/2009,16:14,E,36,10/9/2009,20:00
,,,,,E,36,10/9/2009,21:00
Ping Chau,E,56,10/9/2009,20:42,E,14,10/9/2009,20:00
,,,,,E,14,10/9/2009,22:00
Sai Kung,ENE,62,10/9/2009,19:23,ENE,41,10/9/2009,21:00
Sha Chau,E,56,10/9/2009,17:14,E,38,10/9/2009,18:00
Sha Lo Wan,E,68,10/9/2009,18:57,E,38,10/9/2009,19:00
Sha Tin,E,51,10/9/2009,18:18,ENE,20,10/9/2009,21:00
,E,51,10/9/2009,19:30,,,,
Shek Kong,ESE,62,10/9/2009,16:39,E,23,11/9/2009,02:00
Star Ferry (Kowloon),E,63,10/9/2009,16:02,E,34,10/9/2009,17:00
Ta Kwu Ling,E,49,10/9/2009,20:33,E,19,10/9/2009,18:00
,E,49,10/9/2009,20:38,E,19,10/9/2009,21:00
,ENE,49,10/9/2009,21:01,,,,
Tai Mei Tuk,E,75,10/9/2009,17:07,E,49,10/9/2009,22:00
Tai Mo Shan,E,88,10/9/2009,21:22,E,56,10/9/2009,22:00
Tap Mun,E,59,10/9/2009,17:11,E,30,10/9/2009,07:00
Tate's Cairn,ESE,87,10/9/2009,18:22,ESE,59,10/9/2009,22:00
Tsak Yue Wu,E,49,10/9/2009,19:19,ENE,16,10/9/2009,14:00
Tseung Kwan O,ENE,52,10/9/2009,16:59,NNE,19,10/9/2009,11:00
Tsing Yi Shell Oil Depot,E,45,10/9/2009,13:40,ESE,19,10/9/2009,17:00
,ESE,45,10/9/2009,16:27,,,,
Tuen Mun Government Offices,NNE,49,10/9/2009,13:29,NNE,19,10/9/2009,11:00
Waglan Island,E,83,10/9/2009,17:59,E,67,10/9/2009,16:00
Wetland Park,ESE,43,10/9/2009,17:47,E,22,10/9/2009,18:00
Wong Chuk Hang,E,65,10/9/2009,16:12,E,31,10/9/2009,20:00
