Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ENE,131,14/9/2009,20:58,ESE,77,15/9/2009,02:00
Central Pier,E,118,14/9/2009,23:40,E,70,14/9/2009,23:00
Cheung Chau,-,142,15/9/2009,00:06,-,106,15/9/2009,02:00
Cheung Chau Beach,E,151,14/9/2009,22:56,E,104,14/9/2009,23:00
Cheung Sha Wan,NE,90,14/9/2009,21:25,NE,34,14/9/2009,22:00
Green Island,NE,151,14/9/2009,21:37,NE,99,14/9/2009,22:00
,NE,151,14/9/2009,23:08,,,,
Hong Kong International Airport,SE,115,15/9/2009,04:36,ESE,68,15/9/2009,03:00
Kai Tak,E,115,15/9/2009,02:28,E,63,15/9/2009,02:00
King's Park,E,118,14/9/2009,22:44,ESE,47,15/9/2009,01:00
Lau Fau Shan,E,96,15/9/2009,00:50,E,51,15/9/2009,00:00
North Point,E,118,14/9/2009,21:50,E,65,15/9/2009,00:00
Ping Chau,E,104,14/9/2009,22:33,E,40,14/9/2009,23:00
Sai Kung,ENE,122,14/9/2009,21:49,ENE,72,14/9/2009,23:00
Sha Chau,SE,117,15/9/2009,03:47,SE,75,15/9/2009,04:00
Sha Lo Wan,E,140,15/9/2009,03:30,E,62,14/9/2009,23:00
Sha Tin,ENE,87,14/9/2009,22:18,SE,31,15/9/2009,05:00
Shek Kong,NE,121,14/9/2009,22:42,E,47,15/9/2009,01:00
Star Ferry (Kowloon),ESE,110,14/9/2009,23:22,E,59,15/9/2009,00:00
Ta Kwu Ling,E,88,15/9/2009,01:22,E,38,15/9/2009,04:00
Tai Mei Tuk,E,131,14/9/2009,23:33,E,88,15/9/2009,00:00
,,,,,E,88,15/9/2009,01:00
Tate's Cairn,ESE,158,14/9/2009,23:21,E,101,14/9/2009,22:00
Tsak Yue Wu,ENE,70,14/9/2009,22:21,E,25,14/9/2009,23:00
Tseung Kwan O,NNE,92,14/9/2009,20:25,NNE,31,14/9/2009,20:00
Tsing Yi Shell Oil Depot,E,88,15/9/2009,00:44,ESE,43,15/9/2009,05:00
Tuen Mun Government Offices,SE,110,15/9/2009,03:58,SE,40,15/9/2009,04:00
Waglan Island,ENE,139,14/9/2009,21:33,E,112,14/9/2009,22:00
Wetland Park,E,83,15/9/2009,00:59,E,38,15/9/2009,00:00
Wong Chuk Hang,SE,130,15/9/2009,00:01,E,49,14/9/2009,23:00
