Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),NE,59,28/9/2009,16:45,ENE,30,27/9/2009,23:00
Central Pier,E,43,28/9/2009,08:55,E,25,27/9/2009,23:00
Cheung Chau,NNE,56,28/9/2009,11:28,NNE,31,28/9/2009,12:00
Cheung Chau Beach,NE,52,28/9/2009,10:09,NE,40,28/9/2009,07:00
Cheung Sha Wan,NNE,36,28/9/2009,13:35,NE,14,28/9/2009,07:00
Green Island,NNE,58,28/9/2009,09:15,NNE,40,28/9/2009,10:00
Hong Kong International Airport,ENE,51,28/9/2009,17:26,NE,30,28/9/2009,07:00
Kai Tak,E,45,27/9/2009,22:49,E,20,27/9/2009,23:00
King's Park,NNE,34,28/9/2009,13:24,NE,13,28/9/2009,10:00
,,,,,NE,13,28/9/2009,12:00
,,,,,ENE,13,28/9/2009,19:00
Lau Fau Shan,NE,41,28/9/2009,08:54,NE,22,28/9/2009,10:00
Ngong Ping,ENE,70,28/9/2009,18:03,ENE,52,28/9/2009,12:00
North Point,E,40,28/9/2009,00:00,E,23,27/9/2009,23:00
Peng Chau,ENE,36,28/9/2009,06:59,E,23,27/9/2009,23:00
Sai Kung,NE,36,28/9/2009,16:58,N,20,28/9/2009,05:00
,,,,,N,20,28/9/2009,06:00
Sha Chau,NNE,54,28/9/2009,17:24,NNE,34,28/9/2009,18:00
Sha Lo Wan,ENE,41,28/9/2009,17:30,ENE,20,28/9/2009,06:00
Sha Tin,NNE,38,28/9/2009,05:50,NNE,16,28/9/2009,06:00
Shek Kong,ENE,31,27/9/2009,23:10,E,16,27/9/2009,23:00
,ENE,31,28/9/2009,00:10,,,,
Star Ferry (Kowloon),SE,36,28/9/2009,07:39,SE,22,27/9/2009,23:00
Ta Kwu Ling,NNE,31,28/9/2009,06:06,N,12,28/9/2009,06:00
Tai Mei Tuk,NNE,65,28/9/2009,16:55,NE,40,28/9/2009,17:00
Tai Mo Shan,NE,75,28/9/2009,16:39,ENE,59,28/9/2009,13:00
Tap Mun,NE,38,28/9/2009,16:47,NE,16,28/9/2009,17:00
Tate's Cairn,ENE,87,28/9/2009,17:34,ENE,63,28/9/2009,12:00
Tsak Yue Wu,ENE,31,28/9/2009,16:51,NNE,12,28/9/2009,17:00
Tseung Kwan O,N,31,28/9/2009,16:30,NNE,13,28/9/2009,17:00
Tsing Yi Shell Oil Depot,S,27,28/9/2009,01:44,SE,7,28/9/2009,08:00
,SE,27,28/9/2009,01:45,NW,7,28/9/2009,09:00
Tuen Mun Government Offices,NNE,47,28/9/2009,15:58,NNE,14,28/9/2009,17:00
Waglan Island,ENE,68,28/9/2009,01:19,ENE,54,28/9/2009,00:00
Wetland Park,NE,31,28/9/2009,08:21,NE,14,28/9/2009,06:00
,,,,,NE,14,28/9/2009,09:00
Wong Chuk Hang,ESE,51,28/9/2009,01:25,E,20,28/9/2009,18:00
