Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ESE,59,15/7/2010,22:23,SE,31,16/7/2010,05:00
Central Pier,SE,51,15/7/2010,22:53,E,31,16/7/2010,12:00
Cheung Chau,ESE,81,16/7/2010,12:12,ESE,40,16/7/2010,12:00
,,,,,ESE,40,16/7/2010,13:00
Cheung Chau Beach,ESE,88,16/7/2010,12:12,E,34,16/7/2010,12:00
Cheung Sha Wan,ESE,49,16/7/2010,14:16,ESE,14,16/7/2010,12:00
,,,,,ESE,14,16/7/2010,13:00
Green Island,SE,85,16/7/2010,14:10,ENE,34,16/7/2010,13:00
Hong Kong International Airport,SE,65,16/7/2010,12:29,SE,38,16/7/2010,12:00
Kai Tak,ESE,59,16/7/2010,17:57,ESE,27,16/7/2010,13:00
King's Park,ESE,43,16/7/2010,12:49,ESE,20,15/7/2010,23:00
Lau Fau Shan,SE,72,16/7/2010,14:41,SE,23,16/7/2010,15:00
Ngong Ping,E,142,15/7/2010,22:50,E,75,15/7/2010,23:00
North Point,E,47,16/7/2010,12:03,E,27,16/7/2010,13:00
Peng Chau,S,58,16/7/2010,14:11,ESE,23,15/7/2010,23:00
Ping Chau,ESE,45,15/7/2010,23:25,SE,9,16/7/2010,19:00
Sai Kung,SE,54,16/7/2010,14:19,SSE,27,16/7/2010,00:00
Sha Chau,SSE,70,16/7/2010,14:25,SE,34,16/7/2010,13:00
Sha Lo Wan,SE,70,15/7/2010,22:56,E,25,16/7/2010,11:00
Sha Tin,SSE,47,15/7/2010,23:23,SSE,14,16/7/2010,13:00
Shek Kong,E,49,16/7/2010,10:35,E,19,16/7/2010,13:00
Star Ferry (Kowloon),SSE,62,16/7/2010,18:02,E,30,16/7/2010,12:00
Ta Kwu Ling,E,45,16/7/2010,14:00,E,19,16/7/2010,14:00
Tai Mei Tuk,SE,68,16/7/2010,14:32,E,31,16/7/2010,14:00
Tai Mo Shan,SE,79,16/7/2010,00:07,SE,58,16/7/2010,01:00
Tap Mun,ESE,58,15/7/2010,23:22,SE,23,16/7/2010,00:00
Tate's Cairn,S,68,16/7/2010,18:11,SE,38,15/7/2010,23:00
,SSW,68,16/7/2010,18:16,,,,
Tsak Yue Wu,SSW,31,16/7/2010,18:25,SSE,9,16/7/2010,13:00
Tseung Kwan O,SE,43,16/7/2010,14:11,SE,13,16/7/2010,11:00
Tsing Yi Shell Oil Depot,SE,56,15/7/2010,23:04,SE,23,16/7/2010,13:00
Tuen Mun Government Offices,S,75,16/7/2010,14:27,SE,22,16/7/2010,15:00
Waglan Island,SE,85,15/7/2010,22:16,SE,40,15/7/2010,23:00
Wetland Park,SSE,49,16/7/2010,14:39,ESE,20,16/7/2010,12:00
Wong Chuk Hang,SE,58,16/7/2010,04:30,E,19,15/7/2010,23:00
,,,,,ESE,19,16/7/2010,12:00
,,,,,,,,
