Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ESE,59,22/7/2010,09:29,ESE,40,22/7/2010,07:00
Central Pier,E,54,21/7/2010,14:03,E,27,22/7/2010,03:00
Cheung Chau,ESE,68,21/7/2010,23:35,SE,52,22/7/2010,08:00
Cheung Chau Beach,E,67,21/7/2010,23:19,E,51,22/7/2010,08:00
Cheung Sha Wan,ESE,47,21/7/2010,13:49,E,14,22/7/2010,08:00
Green Island,ENE,76,21/7/2010,13:50,NE,43,21/7/2010,22:00
Hong Kong International Airport,ESE,68,22/7/2010,08:36,ESE,36,22/7/2010,09:00
Kai Tak,E,68,21/7/2010,13:45,E,31,22/7/2010,08:00
King's Park,ESE,65,21/7/2010,13:48,ESE,22,22/7/2010,08:00
Lau Fau Shan,S,52,22/7/2010,13:32,E,23,21/7/2010,11:00
Ngong Ping,E,131,21/7/2010,22:36,E,87,21/7/2010,16:00
North Point,E,56,21/7/2010,13:49,E,25,21/7/2010,23:00
Peng Chau,SSE,62,22/7/2010,13:03,E,36,21/7/2010,18:00
Ping Chau,SE,43,21/7/2010,14:32,ESE,12,22/7/2010,11:00
,,,,,ESE,12,22/7/2010,13:00
Sai Kung,SE,68,22/7/2010,09:41,SSE,31,22/7/2010,12:00
Sha Chau,SSE,72,22/7/2010,13:06,SE,45,22/7/2010,08:00
Sha Lo Wan,SE,65,22/7/2010,08:36,E,27,22/7/2010,07:00
,,,,,SE,27,22/7/2010,09:00
Sha Tin,SE,47,21/7/2010,14:21,SE,22,22/7/2010,08:00
Shek Kong,ESE,43,21/7/2010,14:13,E,23,22/7/2010,02:00
Star Ferry (Kowloon),E,67,21/7/2010,13:50,E,31,22/7/2010,10:00
Ta Kwu Ling,E,40,22/7/2010,04:51,E,16,22/7/2010,05:00
Tai Mei Tuk,ESE,75,22/7/2010,09:52,ENE,34,21/7/2010,18:00
Tai Mo Shan,ESE,110,21/7/2010,13:57,SE,76,21/7/2010,15:00
Tap Mun,SE,56,22/7/2010,10:49,SE,31,22/7/2010,11:00
Tate's Cairn,SSE,96,21/7/2010,13:50,ESE,45,21/7/2010,23:00
Tsak Yue Wu,SSW,38,22/7/2010,11:49,ENE,12,21/7/2010,19:00
,,,,,E,12,22/7/2010,04:00
Tseung Kwan O,SE,58,21/7/2010,13:41,SE,14,22/7/2010,14:00
Tsing Yi Shell Oil Depot,SE,72,21/7/2010,13:56,ESE,23,22/7/2010,13:00
Tuen Mun Government Offices,ESE,58,22/7/2010,07:17,SE,25,22/7/2010,09:00
,,,,,SE,25,22/7/2010,10:00
Waglan Island,SE,67,21/7/2010,13:28,ESE,43,22/7/2010,08:00
Wetland Park,ESE,45,21/7/2010,14:12,SE,19,22/7/2010,09:00
Wong Chuk Hang,ENE,54,21/7/2010,22:09,E,22,21/7/2010,23:00
