Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),S,52,3/9/2010,17:30,SSE,34,3/9/2010,18:00
Central Pier,ESE,40,3/9/2010,17:29,W,16,2/9/2010,21:00
,,,,,W,16,2/9/2010,22:00
Cheung Chau,SE,49,3/9/2010,19:23,SE,31,3/9/2010,20:00
Cheung Chau Beach,W,40,2/9/2010,21:39,W,25,2/9/2010,22:00
Cheung Sha Wan,WSW,31,3/9/2010,12:06,SW,13,3/9/2010,13:00
Green Island,SSE,58,3/9/2010,17:43,SSE,31,3/9/2010,18:00
Hong Kong International Airport,SE,38,3/9/2010,17:58,NW,31,2/9/2010,21:00
Kai Tak,SSE,41,3/9/2010,17:45,W,20,2/9/2010,21:00
,,,,,SE,20,3/9/2010,18:00
King's Park,SSE,34,3/9/2010,17:45,W,12,2/9/2010,21:00
,,,,,W,12,2/9/2010,23:00
Lau Fau Shan,SE,40,3/9/2010,18:19,SE,23,3/9/2010,19:00
,SSE,40,3/9/2010,18:20,,,,
Ngong Ping,E,85,3/9/2010,18:39,SW,45,3/9/2010,14:00
North Point,W,38,3/9/2010,01:27,WSW,22,2/9/2010,21:00
Peng Chau,SSE,43,3/9/2010,19:57,NW,23,2/9/2010,21:00
Ping Chau,ESE,38,3/9/2010,17:17,W,14,3/9/2010,01:00
Sai Kung,SSE,49,3/9/2010,17:48,S,31,3/9/2010,18:00
Sha Chau,SSW,38,3/9/2010,11:55,SSW,25,3/9/2010,14:00
Sha Lo Wan,SE,40,3/9/2010,18:22,S,16,3/9/2010,17:00
Sha Tin,SW,38,3/9/2010,18:10,SW,14,3/9/2010,14:00
Shek Kong,SSE,30,3/9/2010,17:15,S,7,3/9/2010,13:00
Star Ferry (Kowloon),ESE,31,3/9/2010,17:05,W,16,2/9/2010,22:00
,ESE,31,3/9/2010,17:06,,,,
Ta Kwu Ling,SE,27,3/9/2010,18:31,SSE,9,3/9/2010,19:00
Tai Mei Tuk,WSW,40,3/9/2010,18:20,WSW,19,3/9/2010,14:00
Tai Mo Shan,SSW,58,3/9/2010,17:09,W,41,3/9/2010,03:00
Tap Mun,SE,49,3/9/2010,18:12,SSE,20,3/9/2010,18:00
Tate's Cairn,SSW,62,3/9/2010,17:48,S,36,3/9/2010,18:00
Tsak Yue Wu,SSW,22,3/9/2010,14:45,SSW,6,3/9/2010,15:00
Tseung Kwan O,WSW,23,3/9/2010,17:57,SSW,9,3/9/2010,09:00
,,,,,SSW,9,3/9/2010,15:00
Tsing Yi Shell Oil Depot,SE,40,3/9/2010,17:50,SSE,14,3/9/2010,13:00
Tuen Mun Government Offices,SE,41,3/9/2010,18:00,SSE,14,3/9/2010,13:00
,,,,,SE,14,3/9/2010,18:00
Waglan Island,SSW,76,3/9/2010,06:56,SSE,47,3/9/2010,18:00
Wetland Park,SSE,27,3/9/2010,18:12,SSE,9,3/9/2010,13:00
,,,,,SSE,9,3/9/2010,15:00
,,,,,S,9,3/9/2010,19:00
Wong Chuk Hang,NE,31,3/9/2010,17:19,WNW,13,2/9/2010,21:00
