Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),-,96,21/9/2010,03:53,-,43,21/9/2010,05:00
Central Pier,WNW,58,21/9/2010,03:29,W,25,20/9/2010,11:00
Cheung Chau,WSW,81,21/9/2010,03:57,S,49,21/9/2010,04:00
Cheung Chau Beach,SSW,72,21/9/2010,03:58,SW,43,21/9/2010,05:00
Cheung Sha Wan,SW,56,21/9/2010,03:42,WSW,25,21/9/2010,05:00
Hong Kong International Airport,SSW,88,21/9/2010,02:50,SW,41,21/9/2010,05:00
Kai Tak,SW,62,21/9/2010,03:32,SW,27,21/9/2010,05:00
King's Park,WSW,70,21/9/2010,03:21,SSW,22,21/9/2010,04:00
,,,,,SW,22,21/9/2010,05:00
Lau Fau Shan,SSW,79,21/9/2010,03:04,NW,40,20/9/2010,11:00
Ngong Ping,WSW,149,21/9/2010,02:48,WSW,79,21/9/2010,05:00
North Point,W,63,20/9/2010,23:47,W,30,20/9/2010,12:00
Peng Chau,W,67,21/9/2010,02:57,SW,27,21/9/2010,05:00
Ping Chau,NW,47,20/9/2010,09:49,WSW,19,21/9/2010,02:00
Sai Kung,SSW,65,21/9/2010,04:07,SSW,20,21/9/2010,05:00
Sha Chau,SSW,87,21/9/2010,02:55,SSW,38,21/9/2010,06:00
Sha Lo Wan,SW,92,21/9/2010,02:48,SW,31,21/9/2010,03:00
Sha Tin,SSW,56,21/9/2010,03:24,SSW,25,21/9/2010,05:00
Shek Kong,S,34,21/9/2010,03:24,W,14,20/9/2010,11:00
Star Ferry (Kowloon),WSW,88,21/9/2010,04:11,W,31,21/9/2010,05:00
Ta Kwu Ling,SSW,38,21/9/2010,04:45,WNW,13,20/9/2010,11:00
Tai Mei Tuk,WSW,79,21/9/2010,04:46,WSW,34,21/9/2010,05:00
Tai Mo Shan,SW,112,21/9/2010,03:06,SW,65,21/9/2010,05:00
,SW,112,21/9/2010,03:08,,,,
Tap Mun,WNW,56,20/9/2010,19:13,W,30,20/9/2010,09:00
Tsak Yue Wu,WSW,43,21/9/2010,00:39,SW,12,21/9/2010,01:00
,,,,,SW,12,21/9/2010,05:00
Tseung Kwan O,SW,43,21/9/2010,03:51,SW,13,21/9/2010,05:00
Tsing Yi Shell Oil Depot,SSE,63,21/9/2010,03:54,S,25,21/9/2010,05:00
Tuen Mun Government Offices,SW,68,21/9/2010,02:59,WNW,19,20/9/2010,11:00
Waglan Island,SW,122,21/9/2010,03:58,SW,59,21/9/2010,00:00
Wetland Park,SW,47,21/9/2010,03:05,WNW,13,20/9/2010,10:00
Wong Chuk Hang,-,59,21/9/2010,03:26,-,23,20/9/2010,10:00
