Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),N,49,20/10/2010,20:50,NNW,13,21/10/2010,00:00
,,,,,NNW,13,21/10/2010,01:00
Central Pier,NE,43,20/10/2010,20:14,WNW,30,22/10/2010,13:00
,NW,43,22/10/2010,03:43,,,,
Cheung Chau,NNE,72,21/10/2010,01:43,NNE,47,21/10/2010,01:00
Cheung Chau Beach,NE,72,21/10/2010,01:44,NE,38,21/10/2010,01:00
Cheung Sha Wan,N,51,21/10/2010,08:28,N,16,21/10/2010,01:00
Green Island,N,76,21/10/2010,00:00,N,51,21/10/2010,10:00
Hong Kong International Airport,N,52,21/10/2010,04:57,N,36,21/10/2010,05:00
Kai Tak,N,67,21/10/2010,04:00,N,31,20/10/2010,20:00
King's Park,NNE,56,21/10/2010,00:11,N,23,20/10/2010,19:00
Lau Fau Shan,N,58,20/10/2010,21:45,N,34,21/10/2010,18:00
Ngong Ping,NE,72,21/10/2010,20:16,ENE,45,20/10/2010,23:00
North Point,NNE,52,20/10/2010,23:44,NNE,25,21/10/2010,00:00
Peng Chau,NNE,63,21/10/2010,00:27,N,38,20/10/2010,22:00
,,,,,N,38,21/10/2010,01:00
Ping Chau,NNE,49,21/10/2010,06:36,NNE,12,20/10/2010,20:00
,NNW,49,21/10/2010,23:51,N,12,21/10/2010,04:00
,,,,,NNE,12,21/10/2010,05:00
,,,,,N,12,21/10/2010,07:00
Sai Kung,N,72,20/10/2010,23:52,N,36,20/10/2010,21:00
Sha Chau,N,65,20/10/2010,22:02,N,49,21/10/2010,05:00
,N,65,21/10/2010,05:22,,,,
Sha Lo Wan,NE,40,20/10/2010,21:47,NNE,20,20/10/2010,22:00
,NNE,40,20/10/2010,22:37,,,,
Sha Tin,N,56,21/10/2010,04:45,N,20,21/10/2010,05:00
Shek Kong,NE,45,21/10/2010,11:09,NNE,20,21/10/2010,11:00
Star Ferry (Kowloon),WNW,43,21/10/2010,18:02,WNW,20,22/10/2010,14:00
Ta Kwu Ling,NNE,54,21/10/2010,02:02,N,25,21/10/2010,01:00
Tai Mei Tuk,NNE,68,21/10/2010,21:33,NE,31,21/10/2010,00:00
,,,,,NNE,31,21/10/2010,22:00
Tai Mo Shan,NNE,81,21/10/2010,04:05,NNE,59,21/10/2010,05:00
,NNE,81,21/10/2010,21:12,,,,
Tap Mun,N,58,21/10/2010,20:47,N,22,21/10/2010,00:00
,,,,,N,22,21/10/2010,17:00
,,,,,N,22,22/10/2010,04:00
Tate's Cairn,N,85,21/10/2010,19:46,N,62,21/10/2010,20:00
Tsak Yue Wu,NE,63,21/10/2010,09:45,NNE,30,22/10/2010,03:00
Tseung Kwan O,ENE,47,21/10/2010,10:00,N,19,21/10/2010,20:00
Tsing Yi Shell Oil Depot,NNW,62,21/10/2010,01:47,NNW,30,21/10/2010,02:00
Tuen Mun Government Offices,N,49,20/10/2010,22:23,N,14,21/10/2010,11:00
,,,,,N,14,21/10/2010,17:00
Waglan Island,NNE,65,20/10/2010,20:07,NNE,51,20/10/2010,20:00
,,,,,NNE,51,20/10/2010,21:00
Wetland Park,NNE,49,20/10/2010,21:51,NNE,20,20/10/2010,22:00
Wong Chuk Hang,NW,52,21/10/2010,09:10,NNW,20,21/10/2010,10:00
,N,52,21/10/2010,09:38,,,,
