Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),SE,92,22/6/2011,22:58,SE,56,22/6/2011,22:00
Central Pier,E,70,22/6/2011,21:29,E,41,22/6/2011,19:00
Cheung Chau,SE,104,22/6/2011,22:02,SE,77,22/6/2011,23:00
,,,,,SE,77,23/6/2011,00:00
Cheung Chau Beach,E,99,22/6/2011,23:16,E,68,23/6/2011,00:00
Green Island,-,90,22/6/2011,21:47,-,49,23/6/2011,03:00
Hong Kong International Airport,ESE,87,22/6/2011,22:37,ESE,52,22/6/2011,23:00
,,,,,ESE,52,23/6/2011,01:00
Kai Tak,ESE,77,22/6/2011,23:19,E,43,22/6/2011,23:00
King's Park,ESE,68,22/6/2011,22:12,ESE,31,23/6/2011,02:00
Lau Fau Shan,E,63,22/6/2011,10:49,E,31,22/6/2011,11:00
Ngong Ping,E,146,23/6/2011,08:38,E,103,23/6/2011,00:00
North Point,E,77,22/6/2011,12:52,E,40,22/6/2011,14:00
Peng Chau,E,75,22/6/2011,10:33,E,45,22/6/2011,15:00
Ping Chau,E,58,22/6/2011,14:47,E,16,22/6/2011,16:00
Sai Kung,SE,75,22/6/2011,22:30,SE,43,22/6/2011,23:00
Sha Chau,ESE,81,23/6/2011,01:36,SE,56,23/6/2011,00:00
,SSE,81,23/6/2011,10:28,,,,
Sha Lo Wan,ESE,99,23/6/2011,08:32,ESE,41,23/6/2011,09:00
Sha Tin,ENE,56,22/6/2011,17:57,SE,25,23/6/2011,05:00
,ESE,56,22/6/2011,19:34,,,,
Shek Kong,E,70,23/6/2011,10:12,E,31,22/6/2011,17:00
Star Ferry (Kowloon),ESE,83,22/6/2011,22:32,E,47,22/6/2011,23:00
Ta Kwu Ling,ENE,68,22/6/2011,23:40,E,27,22/6/2011,21:00
Tai Mei Tuk,ENE,101,22/6/2011,11:26,E,58,22/6/2011,17:00
Tai Mo Shan,SE,121,23/6/2011,01:58,SE,83,23/6/2011,08:00
Tap Mun,ESE,72,22/6/2011,21:50,SE,45,23/6/2011,08:00
Tate's Cairn,E,113,22/6/2011,15:45,E,67,22/6/2011,11:00
Tsak Yue Wu,E,47,22/6/2011,20:29,E,13,23/6/2011,01:00
,,,,,E,13,23/6/2011,02:00
Tseung Kwan O,SSE,62,22/6/2011,15:43,SE,20,23/6/2011,07:00
Tsing Yi Shell Oil Depot,ESE,76,22/6/2011,22:27,ESE,27,23/6/2011,01:00
Tuen Mun Government Offices,SE,75,22/6/2011,23:14,SE,30,23/6/2011,08:00
Waglan Island,SE,90,22/6/2011,23:00,SE,67,22/6/2011,23:00
Wetland Park,SE,51,22/6/2011,23:28,E,22,22/6/2011,17:00
Wong Chuk Hang,ESE,79,23/6/2011,00:59,E,31,23/6/2011,03:00
