Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),SE,72,29/7/2011,06:39,E,38,29/7/2011,05:00
Central Pier,ENE,67,28/7/2011,19:33,E,45,29/7/2011,02:00
,,,,,E,45,29/7/2011,04:00
Cheung Chau,SSE,92,29/7/2011,14:05,E,52,29/7/2011,06:00
Cheung Chau Beach,ENE,83,28/7/2011,21:22,E,58,29/7/2011,00:00
,E,83,28/7/2011,23:02,,,,
,E,83,29/7/2011,01:25,,,,
Green Island,NE,94,29/7/2011,06:47,NNE,56,29/7/2011,02:00
Hong Kong International Airport,NE,85,28/7/2011,17:13,E,41,29/7/2011,05:00
Kai Tak,E,79,29/7/2011,00:29,E,31,29/7/2011,03:00
King's Park,E,65,29/7/2011,00:11,ESE,25,29/7/2011,13:00
Lau Fau Shan,SSE,72,29/7/2011,15:02,E,31,29/7/2011,01:00
Ngong Ping,ENE,122,29/7/2011,00:31,E,96,29/7/2011,00:00
North Point,E,68,29/7/2011,02:52,E,38,29/7/2011,01:00
Peng Chau,E,75,28/7/2011,22:02,E,45,29/7/2011,01:00
Ping Chau,E,54,28/7/2011,23:38,E,14,29/7/2011,00:00
,E,54,29/7/2011,02:55,,,,
Sai Kung,ENE,63,28/7/2011,23:53,E,38,29/7/2011,06:00
Sha Chau,NNE,85,28/7/2011,17:12,ESE,34,29/7/2011,15:00
Sha Lo Wan,E,68,28/7/2011,23:11,E,40,29/7/2011,00:00
Sha Tin,NNW,52,29/7/2011,05:20,NE,20,29/7/2011,00:00
Shek Kong,NNE,59,29/7/2011,02:19,E,23,29/7/2011,08:00
Star Ferry (Kowloon),E,75,29/7/2011,06:42,E,41,29/7/2011,03:00
Ta Kwu Ling,NE,51,29/7/2011,04:25,E,19,29/7/2011,00:00
,,,,,ENE,19,29/7/2011,02:00
Tai Mei Tuk,E,79,29/7/2011,06:40,E,51,29/7/2011,07:00
Tai Mo Shan,-,96,29/7/2011,06:03,-,58,29/7/2011,05:00
Tap Mun,SE,59,29/7/2011,06:36,E,31,29/7/2011,00:00
Tate's Cairn,ESE,96,29/7/2011,06:41,E,58,29/7/2011,04:00
Tsak Yue Wu,NE,43,29/7/2011,12:20,E,14,28/7/2011,16:00
Tseung Kwan O,E,52,29/7/2011,05:28,E,16,29/7/2011,02:00
Tsing Yi Shell Oil Depot,SE,59,29/7/2011,14:46,ESE,22,28/7/2011,23:00
,,,,,ESE,22,29/7/2011,00:00
Tuen Mun Government Offices,ESE,54,29/7/2011,14:58,SE,22,29/7/2011,15:00
Waglan Island,E,92,29/7/2011,06:32,E,52,29/7/2011,05:00
Wetland Park,NNE,70,28/7/2011,16:44,E,22,29/7/2011,05:00
,,,,,E,22,29/7/2011,06:00
Wong Chuk Hang,E,70,29/7/2011,00:27,E,31,29/7/2011,01:00
