Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ESE,103,29/9/2011,03:04,SE,58,29/9/2011,11:00
Central Pier,E,94,29/9/2011,04:04,E,63,29/9/2011,05:00
Cheung Chau,-,121,29/9/2011,10:05,E,79,29/9/2011,05:00
,,,,,E,79,29/9/2011,11:00
Cheung Chau Beach,E,137,29/9/2011,02:32,E,85,29/9/2011,05:00
Green Island,-,122,29/9/2011,04:34,-,76,29/9/2011,03:00
Hong Kong International Airport,E,110,29/9/2011,03:15,E,62,29/9/2011,09:00
Kai Tak,ENE,96,29/9/2011,02:31,E,47,29/9/2011,18:00
King's Park,E,87,29/9/2011,05:27,E,34,29/9/2011,05:00
Lau Fau Shan,E,104,29/9/2011,02:41,E,49,29/9/2011,04:00
Ngong Ping,ENE,167,29/9/2011,03:15,ENE,124,29/9/2011,04:00
North Point,E,96,29/9/2011,02:14,E,51,29/9/2011,03:00
,,,,,E,51,29/9/2011,05:00
Peng Chau,E,110,29/9/2011,02:11,E,76,29/9/2011,03:00
Ping Chau,E,121,29/9/2011,04:12,E,30,29/9/2011,05:00
Sai Kung,ENE,104,29/9/2011,02:05,E,58,29/9/2011,05:00
Sha Chau,E,85,29/9/2011,04:25,SE,58,29/9/2011,19:00
Sha Lo Wan,E,96,29/9/2011,05:00,E,56,29/9/2011,05:00
Sha Tin,N,79,29/9/2011,03:17,NE,27,29/9/2011,04:00
Shek Kong,E,96,29/9/2011,14:13,E,36,29/9/2011,09:00
Star Ferry (Kowloon),ESE,92,29/9/2011,18:19,E,54,29/9/2011,05:00
,,,,,E,54,29/9/2011,10:00
Ta Kwu Ling,E,70,29/9/2011,16:42,ENE,27,29/9/2011,04:00
,,,,,ENE,27,29/9/2011,06:00
Tai Mei Tuk,E,108,29/9/2011,10:12,E,77,29/9/2011,05:00
Tai Mo Shan,ESE,149,29/9/2011,09:47,SE,96,29/9/2011,15:00
Tap Mun,E,96,29/9/2011,02:03,E,49,29/9/2011,01:00
Tate's Cairn,E,131,29/9/2011,04:58,E,87,29/9/2011,05:00
Tsak Yue Wu,ENE,62,29/9/2011,03:22,E,20,29/9/2011,03:00
,,,,,ENE,20,29/9/2011,05:00
Tseung Kwan O,ENE,72,29/9/2011,02:09,NE,25,29/9/2011,03:00
Tsing Yi Shell Oil Depot,ESE,79,29/9/2011,07:46,E,31,29/9/2011,09:00
Tuen Mun Government Offices,SE,96,29/9/2011,18:01,SE,36,29/9/2011,19:00
Waglan Island,E,110,29/9/2011,01:14,E,83,29/9/2011,03:00
Wetland Park,E,77,29/9/2011,04:47,E,31,29/9/2011,04:00
Wong Chuk Hang,E,96,29/9/2011,07:04,E,41,29/9/2011,03:00
