Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),NNE,49,3/10/2011,06:31,NE,16,3/10/2011,09:00
,,,,,NE,16,3/10/2011,10:00
Central Pier,NNE,41,3/10/2011,09:31,NNE,23,3/10/2011,13:00
Cheung Chau,NE,65,3/10/2011,17:14,NNE,43,3/10/2011,06:00
Cheung Chau Beach,NNE,68,3/10/2011,05:29,NE,47,3/10/2011,18:00
Green Island,-,72,3/10/2011,12:01,-,51,3/10/2011,12:00
Hong Kong International Airport,NE,52,2/10/2011,20:40,NE,36,2/10/2011,21:00
Kai Tak,N,52,3/10/2011,11:31,NNE,19,3/10/2011,08:00
King's Park,N,43,3/10/2011,09:26,N,19,3/10/2011,04:00
  ,  ,  ,  ,,N,19,3/10/2011,05:00
Lau Fau Shan,NE,58,3/10/2011,08:32,NNE,31,3/10/2011,14:00
,,,,,,,,
,NE,58,3/10/2011,18:55,,,,
Ngong Ping,ENE,90,3/10/2011,03:50,ENE,67,3/10/2011,09:00
,,,,,ENE,67,3/10/2011,18:00
North Point,ENE,51,2/10/2011,20:27,ENE,22,3/10/2011,18:00
,,,,,ENE,22,3/10/2011,19:00
Peng Chau,N,47,3/10/2011,07:24,N,31,3/10/2011,07:00
Ping Chau,NE,45,2/10/2011,21:59,ENE,12,2/10/2011,23:00
Sai Kung,NNE,62,3/10/2011,11:08,NNE,31,3/10/2011,12:00
Sha Chau,NNE,65,3/10/2011,11:08,NNE,47,3/10/2011,12:00
Sha Lo Wan,NE,49,3/10/2011,11:32,NE,31,3/10/2011,12:00
Sha Tin,NNE,51,3/10/2011,16:37,NNE,23,3/10/2011,17:00
Shek Kong,NE,41,3/10/2011,13:03,NE,20,3/10/2011,12:00
Star Ferry (Kowloon),NNE,30,3/10/2011,12:14,E,19,2/10/2011,13:00
Ta Kwu Ling,NNE,56,3/10/2011,10:00,N,25,3/10/2011,12:00
Tai Mei Tuk,NE,65,3/10/2011,17:02,NE,40,3/10/2011,18:00
Tai Mo Shan,ENE,87,3/10/2011,18:03,ENE,68,3/10/2011,10:00
Tap Mun,N,45,3/10/2011,10:26,N,20,3/10/2011,07:00
,,,,,N,20,3/10/2011,11:00
Tate's Cairn,N,85,3/10/2011,05:56,NNE,67,3/10/2011,06:00
Tsak Yue Wu,NNE,49,3/10/2011,04:45,NNE,25,3/10/2011,11:00
Tseung Kwan O,NNE,45,3/10/2011,07:40,N,14,3/10/2011,11:00
Tsing Yi Shell Oil Depot,NW,36,3/10/2011,04:59,NNW,16,3/10/2011,06:00
Tuen Mun Government Offices,NNE,54,3/10/2011,10:50,NNE,20,3/10/2011,12:00
,,,,,,,,
,NNE,54,3/10/2011,11:24,,,,
Waglan Island,NE,62,3/10/2011,18:16,NNE,51,3/10/2011,06:00
Wetland Park,NE,43,2/10/2011,19:15,NE,22,3/10/2011,19:00
Wong Chuk Hang,ESE,54,3/10/2011,09:07,ESE,19,3/10/2011,09:00
