Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),SE,51,17/6/2012,23:00,SE,31,17/6/2012,23:00
Central Pier,E,52,17/6/2012,22:25,E,30,17/6/2012,20:00
,,,,,E,30,17/6/2012,23:00
Cheung Chau,ESE,70,17/6/2012,22:34,E,43,17/6/2012,23:00
Cheung Chau Beach,E,62,17/6/2012,22:38,E,43,17/6/2012,23:00
Green Island,NE,65,17/6/2012,22:30,NE,38,17/6/2012,19:00
Hong Kong International Airport,ESE,47,18/6/2012,12:47,E,31,17/6/2012,23:00
Kai Tak,SE,51,18/6/2012,00:39,E,25,17/6/2012,23:00
,,,,,ESE,25,18/6/2012,11:00
King's Park,ESE,49,18/6/2012,00:43,ESE,20,18/6/2012,12:00
Lau Fau Shan,ENE,45,18/6/2012,14:42,E,22,18/6/2012,16:00
Ngong Ping,E,113,17/6/2012,21:45,E,85,17/6/2012,23:00
North Point,E,49,17/6/2012,22:23,E,27,18/6/2012,12:00
Peng Chau,E,56,17/6/2012,22:39,E,34,17/6/2012,23:00
Ping Chau,ENE,38,18/6/2012,10:03,E,12,18/6/2012,10:00
,,,,,E,12,18/6/2012,11:00
Sai Kung,E,41,17/6/2012,22:17,ENE,25,17/6/2012,20:00
Sha Chau,SE,45,18/6/2012,12:52,E,31,18/6/2012,00:00
Sha Lo Wan,ENE,45,17/6/2012,23:20,E,23,17/6/2012,23:00
Sha Tin,NE,41,17/6/2012,22:21,NNE,14,19/6/2012,15:00
Shek Kong,ENE,41,17/6/2012,19:39,E,20,17/6/2012,21:00
,E,41,17/6/2012,21:35,,,,
Star Ferry (Kowloon),E,54,17/6/2012,22:29,E,31,18/6/2012,12:00
Ta Kwu Ling,E,43,18/6/2012,01:53,E,14,18/6/2012,13:00
Tai Mei Tuk,ENE,62,17/6/2012,22:31,E,34,17/6/2012,23:00
Tai Mo Shan,ESE,83,17/6/2012,22:44,ESE,58,17/6/2012,23:00
Tap Mun,ENE,47,18/6/2012,00:01,ESE,22,18/6/2012,16:00
Tate's Cairn,E,83,17/6/2012,22:16,E,45,17/6/2012,22:00
Tseung Kwan O,SE,43,18/6/2012,13:15,NNE,14,19/6/2012,08:00
Tsing Yi Shell Oil Depot,ESE,36,18/6/2012,10:50,ESE,16,18/6/2012,13:00
Tuen Mun Government Offices,NE,38,19/6/2012,14:19,ESE,14,18/6/2012,14:00
Waglan Island,E,59,17/6/2012,21:53,ENE,43,19/6/2012,07:00
,,,,,ENE,43,19/6/2012,09:00
Wetland Park,E,38,18/6/2012,13:49,E,14,18/6/2012,17:00
Wong Chuk Hang,ESE,52,17/6/2012,21:26,E,20,17/6/2012,23:00
,,,,,ESE,20,18/6/2012,12:00
