Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ESE,92,29/6/2012,22:26,E,49,29/6/2012,23:00
Central Pier,ENE,85,29/6/2012,22:27,E,63,29/6/2012,23:00
Cheung Chau,ESE,87,29/6/2012,23:49,ESE,67,30/6/2012,01:00
Cheung Chau Beach,ENE,96,29/6/2012,22:10,ENE,65,29/6/2012,23:00
Green Island,NE,113,29/6/2012,22:44,NE,77,29/6/2012,23:00
Hong Kong International Airport,ESE,75, ,01:15,ESE,49,30/6/2012,02:00
Kai Tak,NE,81,29/6/2012,21:57,E,43,30/6/2012,02:00
King's Park,ENE,76,29/6/2012,21:46,ESE,31,30/6/2012,01:00
Lau Fau Shan,E,67,30/6/2012,00:23,E,38,30/6/2012,01:00
Ngong Ping,ENE,161,29/6/2012,22:56,E,122,30/6/2012,01:00
North Point,E,90,29/6/2012,22:26,ENE,47,29/6/2012,23:00
Peng Chau,E,81,29/6/2012,22:49,E,56,30/6/2012,00:00
Ping Chau,ENE,70,29/6/2012,21:59,ENE,20,29/6/2012,21:00
Sai Kung,ENE,96,29/6/2012,22:21,ENE,56,29/6/2012,23:00
Sha Chau,NNE,70,29/6/2012,20:16,E,49,30/6/2012,02:00
Sha Lo Wan,E,90,30/6/2012,01:18,E,38,30/6/2012,02:00
Sha Tin,NE,62,29/6/2012,22:28,NE,25,29/6/2012,23:00
Shek Kong,NE,83,29/6/2012,21:44,E,38,30/6/2012,00:00
Star Ferry (Kowloon),E,90,29/6/2012,23:13,E,58,30/6/2012,00:00
Ta Kwu Ling,ENE,75,30/6/2012,00:04,ENE,31,29/6/2012,23:00
Tai Mei Tuk,E,99,29/6/2012,22:56,E,72,30/6/2012,00:00
Tai Mo Shan,E,146,29/6/2012,23:17,ESE,87,30/6/2012,01:00
,E,146,29/6/2012,23:18,,,,
Tap Mun,E,72,29/6/2012,21:23,E,41,29/6/2012,22:00
Tate's Cairn,ENE,126,29/6/2012,22:37,E,76,30/6/2012,00:00
Tseung Kwan O,NNE,87,29/6/2012,21:12,NNE,30,29/6/2012,21:00
,,,,,NNE,30,29/6/2012,22:00
Tsing Yi Shell Oil Depot,E,65,30/6/2012,01:03,SE,27,30/6/2012,04:00
Tuen Mun Government Offices,NNE,72,29/6/2012,20:00,SE,25,30/6/2012,03:00
Waglan Island,ENE,104,29/6/2012,21:50,NE,85,29/6/2012,22:00
Wetland Park,E,58,30/6/2012,01:34,E,23,30/6/2012,01:00
,,,,,ESE,23,30/6/2012,02:00
Wong Chuk Hang,ESE,96,29/6/2012,22:39,E,38,29/6/2012,23:00
