Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,ENE,122,23/7/2012,22:39,E,76,23/7/2012,23:00
Cheung Chau,E,184,24/7/2012,00:17,SE,126,24/7/2012,02:00
Cheung Chau Beach,E,171,23/7/2012,23:54,E,115,24/7/2012,00:00
Green Island,NE,155,23/7/2012,23:20,NE,92,23/7/2012,21:00
Hong Kong International Airport,E,133,24/7/2012,01:34,E,85,24/7/2012,01:00
Kai Tak,E,135,24/7/2012,01:34,ESE,67,24/7/2012,07:00
King's Park,ESE,110,24/7/2012,01:26,ESE,52,24/7/2012,02:00
Lau Fau Shan,-,106,24/7/2012,00:27,-,59,24/7/2012,00:00
Ngong Ping,ENE,256,23/7/2012,23:48,E,153,24/7/2012,02:00
North Point,E,130,24/7/2012,00:33,E,65,24/7/2012,00:00
,,,,,E,65,24/7/2012,01:00
Peng Chau,ESE,128,24/7/2012,01:28,E,90,24/7/2012,01:00
Ping Chau,E,121,23/7/2012,21:09,E,41,23/7/2012,22:00
Sai Kung,ENE,121,23/7/2012,21:26,ENE,72,23/7/2012,22:00
Sha Chau,SSE,126,24/7/2012,03:31,SE,85,24/7/2012,03:00
Sha Lo Wan,E,149,24/7/2012,02:06,E,76,24/7/2012,02:00
Sha Tin,SSE,88,24/7/2012,02:54,SE,41,24/7/2012,05:00
Shek Kong,ENE,121,24/7/2012,01:33,E,58,24/7/2012,02:00
Star Ferry (Kowloon),E,122,24/7/2012,00:33,E,83,24/7/2012,00:00
Ta Kwu Ling,ENE,94,24/7/2012,01:11,E,40,24/7/2012,03:00
Tai Mei Tuk,ENE,146,23/7/2012,19:20,E,96,24/7/2012,01:00
Tai Mo Shan,ESE,196,24/7/2012,01:01,ESE,135,24/7/2012,01:00
Tai Po Kau,ESE,115,24/7/2012,00:21,ESE,72,24/7/2012,01:00
,ESE,115,24/7/2012,01:34,,,,
Tate's Cairn,ESE,166,23/7/2012,23:45,E,115,24/7/2012,00:00
Tseung Kwan O,ESE,101,24/7/2012,01:58,ESE,36,24/7/2012,05:00
Tsing Yi Shell Oil Depot,SE,106,24/7/2012,01:42,ESE,43,24/7/2012,01:00
Tuen Mun Government Offices,ESE,128,24/7/2012,02:26,ESE,43,24/7/2012,03:00
Waglan Island,ESE,149,23/7/2012,22:10,E,106,23/7/2012,22:00
Wetland Park,E,94,24/7/2012,01:06,E,40,24/7/2012,01:00
,,,,,E,40,24/7/2012,02:00
,,  ,,,SE,40,24/7/2012,04:00
Wong Chuk Hang,E,124,24/7/2012,01:18,ESE,51,24/7/2012,01:00
