Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ESE,77,17/8/2012,02:05,ESE,51,17/8/2012,03:00
Central Pier,ENE,79,16/8/2012,19:28,E,52,16/8/2012,20:00
Cheung Chau,ESE,103,17/8/2012,00:39,ESE,68,17/8/2012,03:00
Cheung Chau Beach,E,96,17/8/2012,00:18,E,67,17/8/2012,01:00
Green Island,NE,103,16/8/2012,19:29,NE,63,16/8/2012,20:00
Hong Kong International Airport,ESE,75,17/8/2012,02:28,ESE,47,17/8/2012,11:00
Kai Tak,E,77,16/8/2012,19:16,E,36,16/8/2012,21:00
King's Park,E,72,17/8/2012,00:30,ESE,31,17/8/2012,02:00
Lau Fau Shan,ENE,72,17/8/2012,00:47,ENE,31,16/8/2012,21:00
Ngong Ping,E,137,17/8/2012,00:21,E,94,17/8/2012,02:00
North Point,E,81,16/8/2012,19:28,E,40,16/8/2012,22:00
Peng Chau,ESE,79,16/8/2012,19:35,E,54,16/8/2012,21:00
Sai Kung,SSE,77,17/8/2012,13:24,ENE,47,16/8/2012,21:00
Sha Chau,SE,76,17/8/2012,10:50,SE,49,17/8/2012,04:00
Sha Lo Wan,E,81,16/8/2012,19:11,E,43,16/8/2012,22:00
Sha Tin,ENE,65,16/8/2012,19:15,NE,22,16/8/2012,20:00
Shek Kong,NE,68,16/8/2012,20:13,E,31,17/8/2012,01:00
Star Ferry (Kowloon),E,83,16/8/2012,22:35,E,47,17/8/2012,01:00
Ta Kwu Ling,E,63,17/8/2012,02:29,E,23,17/8/2012,02:00
Tai Mei Tuk,ENE,79,16/8/2012,22:13,ENE,59,16/8/2012,21:00
,E,79,16/8/2012,22:56,,,,
Tai Mo Shan,-,117,17/8/2012,00:28,-,83,17/8/2012,01:00
Tap Mun,SE,72,17/8/2012,02:27,E,31,16/8/2012,20:00
,,,,,SE,31,17/8/2012,03:00
Tate's Cairn,ENE,112,16/8/2012,19:12,ENE,70,16/8/2012,20:00
Tseung Kwan O,ESE,54,16/8/2012,18:22,E,20,16/8/2012,20:00
Tai Po Kau,SE,79,17/8/2012,02:18,E,43,16/8/2012,21:00
Tsing Yi Shell Oil Depot,ESE,68,17/8/2012,01:21,ESE,27,17/8/2012,01:00
,,,,,ESE,27,17/8/2012,02:00
,,,,,ESE,27,17/8/2012,03:00
Tuen Mun Government Offices,ESE,65,17/8/2012,11:16,SE,31,17/8/2012,13:00
Waglan Island,SE,88,17/8/2012,02:14,ENE,70,16/8/2012,18:00
Wetland Park,ESE,52,17/8/2012,02:24,ESE,27,17/8/2012,11:00
Wong Chuk Hang,E,68,16/8/2012,20:19,E,30,17/8/2012,03:00
