Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),N,36,26/8/2012,02:29,NW,13,25/8/2012,14:00
Central Pier,W,36,25/8/2012,13:01,W,22,25/8/2012,08:00
Cheung Chau,NNE,47,25/8/2012,22:45,NNE,30,26/8/2012,00:00
Cheung Chau Beach,NE,45,25/8/2012,22:43,NE,22,26/8/2012,00:00
Green Island,NNE,54,25/8/2012,22:59,N,36,26/8/2012,10:00
Hong Kong International Airport,NNW,36,25/8/2012,09:46,NNW,31,25/8/2012,11:00
Kai Tak,N,49,26/8/2012,02:05,WNW,20,25/8/2012,08:00
,,,,,N,20,25/8/2012,23:00
King's Park,NNE,40,25/8/2012,23:04,NNE,16,25/8/2012,23:00
,NE,40,26/8/2012,04:13,,,,
Lau Fau Shan,N,43,25/8/2012,23:02,WNW,25,25/8/2012,18:00
Ngong Ping,N,51,25/8/2012,06:33,NE,30,26/8/2012,00:00
North Point,NNE,38,25/8/2012,22:51,W,20,25/8/2012,16:00
Peng Chau,N,47,25/8/2012,22:32,NW,25,25/8/2012,15:00
Ping Chau,NNE,30,26/8/2012,00:25,NW,7,25/8/2012,06:00
Sai Kung,N,47,26/8/2012,10:55,N,25,26/8/2012,11:00
Sha Chau,NNW,47,25/8/2012,09:17,N,31,26/8/2012,08:00
Sha Lo Wan,N,31,25/8/2012,22:33,NNE,13,26/8/2012,00:00
Sha Tin,NE,34,26/8/2012,12:07,N,14,26/8/2012,11:00
Shek Kong,WNW,30,26/8/2012,14:33,NW,13,25/8/2012,15:00
Star Ferry (Kowloon),W,34,25/8/2012,13:12,W,25,25/8/2012,13:00
Ta Kwu Ling,N,27,26/8/2012,12:51,N,12,26/8/2012,12:00
Tai Mei Tuk,NNE,47,26/8/2012,08:50,NNE,23,25/8/2012,23:00
,,,,,NNE,23,26/8/2012,00:00
Tai Mo Shan,NNE,63,26/8/2012,03:22,NNE,47,25/8/2012,23:00
Tai Po Kau,WNW,36,25/8/2012,09:52,NW,16,25/8/2012,14:00
Tap Mun,N,34,26/8/2012,11:27,WNW,19,25/8/2012,08:00
Tate's Cairn,NNW,70,26/8/2012,02:42,N,45,25/8/2012,23:00
Tseung Kwan O,E,31,26/8/2012,05:34,N,13,26/8/2012,13:00
,,,,,NNW,13,26/8/2012,15:00
Tsing Yi Shell Oil Depot,NW,36,26/8/2012,12:04,NNW,16,26/8/2012,12:00
Tuen Mun Government Offices,WNW,41,25/8/2012,12:23,WNW,14,25/8/2012,14:00
Waglan Island,N,45,26/8/2012,06:01,N,38,26/8/2012,07:00
Wetland Park,NNW,27,26/8/2012,14:02,NNW,13,25/8/2012,13:00
Wong Chuk Hang,N,38,26/8/2012,10:04,NNW,14,26/8/2012,14:00
