Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),SE,77,1/7/2013,14:35,ESE,36,1/7/2013,15:00
,,,,,SE,36,1/7/2013,21:00
Central Pier,E,59,1/7/2013,14:48,E,31,1/7/2013,14:00
Cheung Chau,SE,77,1/7/2013,16:21,SE,54,1/7/2013,21:00
Cheung Chau Beach,E,70,1/7/2013,11:13,E,43,1/7/2013,12:00
,E,70,1/7/2013,11:14,,,,
Green Island,ESE,81,1/7/2013,14:48,ENE,36,1/7/2013,15:00
Hong Kong International Airport,ESE,65,1/7/2013,23:44,ESE,36,1/7/2013,14:00
Kai Tak,SSE,62,1/7/2013,14:47,ESE,31,1/7/2013,23:00
King's Park,S,56,1/7/2013,14:51,ESE,22,1/7/2013,11:00
Lau Fau Shan,SE,72,1/7/2013,15:12,SE,27,2/7/2013,09:00
Ngong Ping,E,112,1/7/2013,18:38,E,67,1/7/2013,21:00
North Point,ESE,76,1/7/2013,14:46,E,30,1/7/2013,13:00
Peng Chau,SE,59,1/7/2013,14:54,E,31,1/7/2013,12:00
Ping Chau,SE,47,1/7/2013,17:57,SSE,9,1/7/2013,17:00
Sai Kung,S,103,1/7/2013,15:21,SSE,36,2/7/2013,00:00
Sha Chau,S,62,1/7/2013,14:17,SE,38,1/7/2013,22:00
Sha Lo Wan,ESE,67,1/7/2013,21:31,ESE,31,1/7/2013,22:00
Sha Tin,SSW,43,1/7/2013,15:08,E,19,1/7/2013,22:00
Star Ferry (Kowloon),ESE,70,1/7/2013,14:48,E,36,1/7/2013,15:00
Ta Kwu Ling,E,51,1/7/2013,14:04,E,16,1/7/2013,15:00
Tai Mei Tuk,E,58,1/7/2013,14:04,E,36,1/7/2013,12:00
Tai Mo Shan,ESE,99,1/7/2013,17:12,ESE,63,1/7/2013,16:00
Tai Po Kau,ESE,62,1/7/2013,12:01,ESE,31,1/7/2013,12:00
Tap Mun,SE,62,1/7/2013,15:43,SE,31,1/7/2013,23:00
Tate's Cairn,SW,70,1/7/2013,14:57,SSW,47,2/7/2013,08:00
Tseung Kwan O,E,41,1/7/2013,11:58,ESE,14,1/7/2013,19:00
Tsing Yi Shell Oil Depot,SE,92,1/7/2013,14:56,SE,25,2/7/2013,08:00
Tuen Mun Government Offices,SE,62,1/7/2013,12:29,SE,23,1/7/2013,22:00
Waglan Island,SSE,96,1/7/2013,14:32,SSE,51,1/7/2013,17:00
Wetland Park,SE,68,1/7/2013,15:11,SE,20,2/7/2013,09:00
Wong Chuk Hang,ESE,59,1/7/2013,14:42,E,23,1/7/2013,14:00
