Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),E,30,18/7/2013,12:09,E,16,18/7/2013,00:00
Central Pier,E,34,18/7/2013,14:19,E,20,18/7/2013,15:00
Cheung Chau,SE,40,18/7/2013,13:08,SE,23,18/7/2013,14:00
Cheung Chau Beach,E,36,17/7/2013,23:34,E,25,18/7/2013,00:00
Green Island,NE,54,18/7/2013,12:28,NE,36,18/7/2013,13:00
Hong Kong International Airport,ESE,31,18/7/2013,14:34,ESE,22,18/7/2013,00:00
Kai Tak,ESE,40,18/7/2013,11:34,ESE,16,18/7/2013,13:00
King's Park,ESE,27,18/7/2013,12:02,SE,12,18/7/2013,13:00
Lau Fau Shan,ESE,27,18/7/2013,13:29,ENE,14,18/7/2013,00:00
,,,,,E,14,18/7/2013,15:00
Ngong Ping,E,68,18/7/2013,00:45,E,49,18/7/2013,00:00
North Point,E,31,18/7/2013,11:40,E,16,18/7/2013,14:00
Peng Chau,ESE,31,18/7/2013,12:26,ESE,22,18/7/2013,13:00
,ESE,31,18/7/2013,12:32,,,,
Ping Chau,ENE,13,18/7/2013,11:15,NNW,4,18/7/2013,10:00
Sai Kung,E,27,18/7/2013,11:45,E,12,18/7/2013,13:00
Sha Chau,SE,34,18/7/2013,13:34,SE,25,18/7/2013,14:00
,SE,34,18/7/2013,13:37,,,,
,SSE,34,18/7/2013,13:41,,,,
Sha Lo Wan,ESE,30,18/7/2013,13:45,E,14,18/7/2013,00:00
Sha Tin,NNE,22,18/7/2013,12:47,NNE,9,18/7/2013,10:00
Star Ferry (Kowloon),E,31,18/7/2013,14:34,E,20,18/7/2013,14:00
Ta Kwu Ling,SE,23,18/7/2013,14:37,ESE,9,18/7/2013,15:00
Tai Mei Tuk,NE,27,18/7/2013,00:27,ESE,16,18/7/2013,15:00
Tai Mo Shan,ESE,70,17/7/2013,23:22,ESE,58,18/7/2013,00:00
Tai Po Kau,SE,27,18/7/2013,13:43,ESE,16,18/7/2013,15:00
,SE,27,18/7/2013,13:55,,,,
Tap Mun,SE,22,18/7/2013,13:13,SE,13,18/7/2013,14:00
Tate's Cairn,SE,41,18/7/2013,00:28,SE,30,18/7/2013,01:00
Tseung Kwan O,NE,25,18/7/2013,10:36,NNE,12,18/7/2013,11:00
Tsing Yi Shell Oil Depot,E,27,18/7/2013,11:52,ESE,13,18/7/2013,14:00
Tuen Mun Government Offices,SE,31,18/7/2013,13:25,SSE,14,18/7/2013,15:00
Waglan Island,ENE,30,18/7/2013,02:11,ENE,20,18/7/2013,03:00
,ENE,30,18/7/2013,02:12,,,,
Wetland Park,ESE,31,18/7/2013,13:53,ESE,12,18/7/2013,15:00
Wong Chuk Hang,ENE,34,18/7/2013,10:22,E,16,18/7/2013,11:00
