Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ESE,63,1/8/2013,17:22,ESE,34,1/8/2013,18:00
Central Pier,E,63,1/8/2013,15:03,E,34,1/8/2013,12:00
Cheung Chau,SE,87,1/8/2013,17:36,ESE,45,1/8/2013,18:00
Cheung Chau Beach,E,81,1/8/2013,15:13,E,45,1/8/2013,16:00
Green Island,SSE,85,2/8/2013,20:28,NE,45,1/8/2013,11:00
Hong Kong International Airport,ESE,75,1/8/2013,15:27,E,38,1/8/2013,16:00
Kai Tak,E,65,1/8/2013,14:53,E,27,1/8/2013,15:00
,,,,,E,27,2/8/2013,15:00
King's Park,S,63,2/8/2013,20:39,ESE,19,1/8/2013,11:00
,,,,,ESE,19,1/8/2013,15:00
Lau Fau Shan,ENE,56,2/8/2013,10:42,E,30,1/8/2013,12:00
,ESE,56,2/8/2013,20:56,E,30,1/8/2013,16:00
Ngong Ping,ENE,99,1/8/2013,19:44,E,76,1/8/2013,20:00
,E,99,1/8/2013,20:11,,,,
,E,99,2/8/2013,00:00,,,,
North Point,E,63,1/8/2013,14:54,E,27,1/8/2013,23:00
Peng Chau,ESE,81,1/8/2013,15:12,E,40,1/8/2013,16:00
Ping Chau,ESE,31,1/8/2013,14:51,E,9,1/8/2013,14:00
,,,,,E,9,1/8/2013,15:00
Sai Kung,ESE,70,2/8/2013,10:06,ENE,34,1/8/2013,15:00
Sha Chau,ESE,6,1/8/2013,15:31,ESE,36,2/8/2013,21:00
Sha Lo Wan,SE,65,1/8/2013,18:00,E,31,1/8/2013,16:00
Sha Tin,ESE,52,1/8/2013,14:56,E,16,1/8/2013,12:00
Star Ferry (Kowloon),E,72,1/8/2013,14:58,E,34,1/8/2013,13:00
Ta Kwu Ling,E,51,1/8/2013,15:11,E,16,1/8/2013,15:00
Tai Mei Tuk,ESE,81,1/8/2013,14:54,E,40,2/8/2013,11:00
Tai Mo Shan,E,101,2/8/2013,10:27,E,68,1/8/2013,22:00
Tai Po Kau,E,70,1/8/2013,15:02,E,31,1/8/2013,13:00
,,,,,E,31,1/8/2013,15:00
Tap Mun,SE,70,2/8/2013,21:07,SE,27,2/8/2013,22:00
Tate's Cairn,SE,83,2/8/2013,10:08,SE,45,2/8/2013,10:00
Tseung Kwan O,SE,54,2/8/2013,10:03,ENE,13,1/8/2013,12:00
,,,,,ENE,13,1/8/2013,15:00
Tsing Yi Shell Oil Depot,SE,65,2/8/2013,20:35,E,23,2/8/2013,21:00
Tuen Mun Government Offices,SE,56,2/8/2013,20:48,ESE,20,2/8/2013,21:00
Waglan Island,S,77,2/8/2013,20:25,ENE,51,2/8/2013,08:00
Wetland Park,ENE,41,1/8/2013,15:06,E,19,1/8/2013,12:00
Wong Chuk Hang,WNW,56,2/8/2013,20:21,E,23,1/8/2013,11:00
