Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),SE,92,14/8/2013,11:16,ESE,54,14/8/2013,06:00
Central Pier,ESE,83,14/8/2013,11:24,E,45,13/8/2013,19:00
Cheung Chau,ESE,104,14/8/2013,06:46,ESE,72,14/8/2013,06:00
Cheung Chau Beach,E,96,14/8/2013,05:02,E,67,14/8/2013,06:00
Green Island,NE,94,14/8/2013,02:32,NE,59,13/8/2013,19:00
,,,,,S,59,15/8/2013,04:00
Hong Kong International Airport,S,90,15/8/2013,07:25,S,51,15/8/2013,08:00
Kai Tak,NE,79,13/8/2013,15:10,ESE,43,14/8/2013,14:00
King's Park,ENE,76,13/8/2013,15:17,ESE,31,14/8/2013,06:00
Lau Fau Shan,SE,65,14/8/2013,11:24,SSE,38,15/8/2013,03:00
,SSE,65,15/8/2013,01:57,,,,
Ngong Ping,E,142,14/8/2013,11:14,E,101,14/8/2013,05:00
North Point,E,75,14/8/2013,00:41,E,40,14/8/2013,01:00
Peng Chau,ESE,83,14/8/2013,04:54,E,51,14/8/2013,03:00
Ping Chau,SE,45,14/8/2013,22:30,E,13,14/8/2013,01:00
,,,,,SE,13,15/8/2013,01:00
Sai Kung,SSE,77,14/8/2013,15:36,SSE,43,14/8/2013,14:00
Sha Chau,SE,88,14/8/2013,07:28,S,58,15/8/2013,03:00
Sha Lo Wan,ESE,88,14/8/2013,05:37,E,38,14/8/2013,05:00
Sha Tin,ENE,70,14/8/2013,00:09,SE,25,14/8/2013,18:00
Star Ferry (Kowloon),E,90,14/8/2013,05:37,E,49,14/8/2013,01:00
Ta Kwu Ling,E,83,14/8/2013,05:40,E,25,14/8/2013,06:00
Tai Mei Tuk,E,101,14/8/2013,05:31,E,58,14/8/2013,02:00
Tai Mo Shan,ESE,130,14/8/2013,02:47,SE,87,14/8/2013,13:00
Tai Po Kau,SE,76,14/8/2013,14:32,E,43,14/8/2013,01:00
Tap Mun,SE,83,14/8/2013,05:24,SE,41,14/8/2013,10:00
Tate's Cairn,SE,112,14/8/2013,02:16,SE,72,14/8/2013,03:00
Tseung Kwan O,SE,63,14/8/2013,14:29,ESE,20,14/8/2013,10:00
Tsing Yi Shell Oil Depot,SE,68,15/8/2013,03:40,SE,38,15/8/2013,04:00
Tuen Mun Government Offices,ESE,72,14/8/2013,09:46,SSE,31,15/8/2013,03:00
Waglan Island,SE,96,14/8/2013,05:52,ENE,75,13/8/2013,17:00
Wetland Park,SE,54,14/8/2013,15:34,SE,23,14/8/2013,14:00
Wong Chuk Hang,SE,85,14/8/2013,11:20,E,31,13/8/2013,22:00
