Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,W,94,22/9/2013,22:33,W,51,22/9/2013,22:00
Cheung Chau,WNW,128,22/9/2013,21:34,WNW,83,22/9/2013,22:00
Cheung Chau Beach,W,112,22/9/2013,21:34,W,62,22/9/2013,22:00
Green Island,NW,103,22/9/2013,22:07,WSW,72,23/9/2013,02:00
Hong Kong International Airport,SSW,87,23/9/2013,01:14,W,65,22/9/2013,23:00
Kai Tak,WSW,83,22/9/2013,23:11,W,47,22/9/2013,21:00
King's Park,WNW,88,22/9/2013,23:25,WNW,34,22/9/2013,23:00
Lau Fau Shan,W,112,22/9/2013,22:38,W,79,23/9/2013,00:00
Ngong Ping,W,133,23/9/2013,00:03,WSW,83,23/9/2013,02:00
North Point,WSW,99,22/9/2013,22:21,W,63,22/9/2013,23:00
Peng Chau,WNW,101,22/9/2013,21:02,NW,59,22/9/2013,20:00
Ping Chau,W,94,22/9/2013,22:12,W,51,22/9/2013,23:00
Sai Kung,WNW,88,22/9/2013,18:58,NW,34,22/9/2013,21:00
Sha Chau,SSW,90,23/9/2013,02:51,SSW,56,23/9/2013,03:00
Sha Lo Wan,SW,96,23/9/2013,01:07,WSW,41,23/9/2013,00:00
Sha Tin,SW,68,23/9/2013,00:13,SW,31,23/9/2013,01:00
Shek Kong,SW,62,22/9/2013,23:29,WSW,25,23/9/2013,00:00
Star Ferry (Kowloon),W,101,23/9/2013,01:48,W,72,22/9/2013,23:00
Ta Kwu Ling,WSW,68,22/9/2013,23:23,WSW,31,23/9/2013,00:00
Tai Mei Tuk,WSW,121,22/9/2013,20:09,W,62,22/9/2013,23:00
Tai Mo Shan,W,155,22/9/2013,22:43,W,118,22/9/2013,23:00
Tai Po Kau,WNW,103,22/9/2013,22:21,W,52,22/9/2013,23:00
Tap Mun,W,115,22/9/2013,21:06,W,68,22/9/2013,22:00
Tate's Cairn,NNW,140,22/9/2013,20:13,NW,79,22/9/2013,21:00
Tseung Kwan O,NW,58,22/9/2013,18:43,W,19,22/9/2013,21:00
Tsing Yi Shell Oil Depot,-,90,22/9/2013,21:37,-,49,22/9/2013,22:00
Tuen Mun Government Offices,NW,112,22/9/2013,22:05,WNW,40,22/9/2013,23:00
Waglan Island,WSW,110,22/9/2013,23:50,WSW,87,23/9/2013,00:00
Wetland Park,WNW,65,22/9/2013,22:23,NW,25,22/9/2013,19:00
Wong Chuk Hang,WNW,99,22/9/2013,21:11,WNW,34,22/9/2013,22:00
