Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),-,51,2/11/2013,18:54,-,19,1/11/2013,17:00
Central Pier,N,38,3/11/2013,08:39,NNE,23,2/11/2013,07:00
Cheung Chau,NNE,58,3/11/2013,08:55,NNE,38,3/11/2013,09:00
Cheung Chau Beach,NE,65,2/11/2013,20:22,NE,45,3/11/2013,00:00
Green Island,NNE,68,3/11/2013,10:50,NNE,47,3/11/2013,11:00
Hong Kong International Airport,NE,51,3/11/2013,12:28,NE,31,3/11/2013,12:00
Kai Tak,NNE,49,3/11/2013,10:44,NNE,20,3/11/2013,11:00
King's Park,NE,49,3/11/2013,08:23,NE,20,3/11/2013,09:00
Lau Fau Shan,NNE,51,3/11/2013,18:29,NNE,31,3/11/2013,16:00
Ngong Ping,NE,62,3/11/2013,05:06,ENE,49,2/11/2013,22:00
North Point,NE,51,2/11/2013,18:00,ENE,25,3/11/2013,11:00
Peng Chau,ENE,52,2/11/2013,20:39,NE,31,3/11/2013,16:00
Ping Chau,NE,30,3/11/2013,17:06,NNE,7,2/11/2013,15:00
,,,,,NE,7,3/11/2013,03:00
,,,,,NNE,7,3/11/2013,13:00
Sai Kung,NNE,56,3/11/2013,10:46,NNE,31,3/11/2013,11:00
Sha Chau,NNE,52,3/11/2013,09:50,N,40,3/11/2013,11:00
Sha Lo Wan,NE,40,3/11/2013,10:40,NE,22,3/11/2013,12:00
Sha Tin,NNE,40,3/11/2013,12:52,NNE,20,3/11/2013,09:00
,,,,,NNE,20,3/11/2013,11:00
,,,,,NNE,20,3/11/2013,12:00
Shek Kong,NE,34,3/11/2013,09:12,ENE,19,2/11/2013,19:00
Star Ferry (Kowloon),E,36,2/11/2013,16:15,E,16,3/11/2013,22:00
Ta Kwu Ling,N,49,3/11/2013,10:21,N,22,3/11/2013,14:00
Tai Mei Tuk,NE,59,3/11/2013,12:50,NNE,36,3/11/2013,02:00
Tai Mo Shan,E,85,3/11/2013,12:45,E,59,3/11/2013,01:00
Tai Po Kau,ENE,36,3/11/2013,13:41,NE,14,3/11/2013,15:00
Tap Mun,N,40,3/11/2013,11:50,N,19,3/11/2013,10:00
Tate's Cairn,E,85,3/11/2013,02:13,E,58,3/11/2013,02:00
Tseung Kwan O,NNE,40,3/11/2013,10:54,N,14,3/11/2013,08:00
Tsing Yi Shell Oil Depot,-,31,3/11/2013,08:05,-,14,3/11/2013,08:00
,-,31,3/11/2013,13:59,,,,
Tuen Mun Government Offices,N,47,3/11/2013,10:46,NNE,22,3/11/2013,11:00
Waglan Island,NE,62,3/11/2013,02:27,NE,51,3/11/2013,17:00
Wetland Park,NNE,40,3/11/2013,11:55,NE,19,3/11/2013,12:00
Wong Chuk Hang,E,52,3/11/2013,08:31,E,20,3/11/2013,17:00
