Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),NNE,36,14/6/2014,21:07,E,22,14/6/2014,18:00
Central Pier,W,30,15/6/2014,11:02,E,22,14/6/2014,18:00
,WNW,30,15/6/2014,12:40,,,,
Cheung Chau,ESE,47,14/6/2014,17:41,ESE,30,14/6/2014,18:00
Cheung Chau Beach,E,34,14/6/2014,17:40,E,27,14/6/2014,18:00
Green Island,NE,49,14/6/2014,17:49,NE,34,14/6/2014,18:00
Hong Kong International Airport,ESE,36,14/6/2014,18:11,E,25,14/6/2014,19:00
Kai Tak,NE,31,14/6/2014,20:49,E,19,14/6/2014,18:00
King's Park,NE,30,14/6/2014,22:55,SE,14,14/6/2014,18:00
Lau Fau Shan,N,34,15/6/2014,07:54,NNW,20,14/6/2014,18:00
Ngong Ping,NE,52,15/6/2014,10:12,ENE,27,15/6/2014,11:00
North Point,W,31,15/6/2014,10:43,E,19,14/6/2014,18:00
,,,,,WSW,19,15/6/2014,11:00
Peng Chau,NW,47,15/6/2014,10:34,E,25,14/6/2014,19:00
Ping Chau,NW,23,15/6/2014,06:22,NW,7,15/6/2014,07:00
Sai Kung,N,31,15/6/2014,00:15,E,13,14/6/2014,18:00
,,,,,N,13,15/6/2014,01:00
Sha Chau,N,47,15/6/2014,10:07,N,23,15/6/2014,11:00
Sha Lo Wan,ESE,30,15/6/2014,11:51,SW,13,15/6/2014,03:00
Sha Tin,ESE,20,14/6/2014,18:16,SE,9,14/6/2014,18:00
,N,20,15/6/2014,10:13,,,,
,NE,20,15/6/2014,10:19,,,,
Shek Kong,E,27,14/6/2014,17:58,E,13,14/6/2014,18:00
Star Ferry (Kowloon),W,30,15/6/2014,10:43,W,23,15/6/2014,11:00
,W,30,15/6/2014,10:44,,,,
Ta Kwu Ling,E,27,14/6/2014,17:46,E,13,14/6/2014,18:00
,ESE,27,14/6/2014,18:40,,,,
Tai Mei Tuk,WNW,40,15/6/2014,09:10,W,22,15/6/2014,10:00
Tai Mo Shan,NNW,63,14/6/2014,21:50,NNW,40,15/6/2014,08:00
Tai Po Kau,WNW,25,15/6/2014,11:57,E,16,14/6/2014,18:00
Tap Mun,WNW,38,15/6/2014,10:11,W,22,15/6/2014,11:00
Tate's Cairn,N,51,14/6/2014,20:39,ENE,34,14/6/2014,21:00
,N,51,14/6/2014,20:44,,,,
Tseung Kwan O,N,23,15/6/2014,08:08,ENE,7,14/6/2014,18:00
,,,,,E,7,14/6/2014,19:00
,,,,,ENE,7,14/6/2014,21:00
Tsing Yi Shell Oil Depot,-,23,14/6/2014,17:40,-,14,14/6/2014,18:00
Tuen Mun Government Offices,NNE,27,15/6/2014,10:15,NNE,9,15/6/2014,11:00
Waglan Island,E,47,14/6/2014,18:30,E,36,14/6/2014,19:00
Wetland Park,NW,23,15/6/2014,10:01,NW,13,15/6/2014,11:00
Wong Chuk Hang,N,30,15/6/2014,09:55,E,12,14/6/2014,18:00
