Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),E,77,17/7/2014,19:25,ESE,45,18/7/2014,06:00
Central Pier,ENE,81,17/7/2014,17:21,E,40,18/7/2014,09:00
Cheung Chau,SE,103,18/7/2014,09:42,SE,63,18/7/2014,12:00
Cheung Chau Beach,ENE,96,17/7/2014,17:33,E,65,18/7/2014,06:00
Green Island,NE,101,17/7/2014,17:24,NE,58,17/7/2014,17:00
Hong Kong International Airport,ESE,77,18/7/2014,00:05,SE,45,18/7/2014,14:00
Kai Tak,E,77,17/7/2014,17:16,ESE,36,19/7/2014,00:00
King's Park,SE,67,18/7/2014,05:38,SE,34,18/7/2014,09:00
Lau Fau Shan,SE,67,18/7/2014,10:29,E,31,17/7/2014,16:00
North Point,E,77,17/7/2014,17:22,E,36,18/7/2014,06:00
Peng Chau,E,76,17/7/2014,19:42,E,45,18/7/2014,06:00
Ping Chau,E,34,17/7/2014,18:29,E,12,17/7/2014,16:00
Sai Kung,ENE,70,17/7/2014,21:34,ENE,41,17/7/2014,16:00
Sha Chau,SSE,90,18/7/2014,10:05,SE,49,18/7/2014,14:00
Sha Lo Wan,SE,92,18/7/2014,10:08,E,36,17/7/2014,18:00
Sha Tin,E,59,17/7/2014,17:21,E,20,17/7/2014,13:00
Shek Kong,ESE,70,17/7/2014,20:14,E,25,18/7/2014,06:00
,,,,,E,25,18/7/2014,08:00
Star Ferry (Kowloon),E,75,18/7/2014,04:43,E,45,18/7/2014,06:00
Ta Kwu Ling,E,58,18/7/2014,06:54,E,25,18/7/2014,08:00
Tai Mei Tuk,E,79,18/7/2014,05:33,E,54,18/7/2014,09:00
Tai Mo Shan,E,118,18/7/2014,06:27,E,79,18/7/2014,07:00
Tap Mun,E,65,17/7/2014,21:25,SE,31,18/7/2014,13:00
Tate's Cairn,E,113,17/7/2014,17:19,E,67,18/7/2014,06:00
Tseung Kwan O,ESE,59,18/7/2014,11:04,ESE,16,18/7/2014,14:00
,ESE,59,18/7/2014,13:13,,,,
Tsing Yi Shell Oil Depot,-,63,18/7/2014,10:10,-,25,18/7/2014,09:00
Tuen Mun Government Offices,SE,63,18/7/2014,10:18,SE,22,18/7/2014,15:00
Waglan Island,E,96,17/7/2014,19:19,ESE,62,18/7/2014,05:00
Wetland Park,E,52,17/7/2014,16:52,E,22,18/7/2014,06:00
,,,,,ESE,22,18/7/2014,08:00
Wong Chuk Hang,SE,77,18/7/2014,09:54,ESE,30,18/7/2014,06:00
