Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ESE,96,16/9/2014,08:13,ESE,58,16/9/2014,02:00
Central Pier,E,96,16/9/2014,06:03,E,56,15/9/2014,23:00
Cheung Chau,SE,137,16/9/2014,01:02,ESE,85,16/9/2014,08:00
Cheung Chau Beach,E,130,16/9/2014,01:06,E,96,16/9/2014,02:00
Green Island,NE,117,15/9/2014,23:27,NE,77,16/9/2014,00:00
Hong Kong International Airport,E,108,16/9/2014,00:27,E,62,16/9/2014,01:00
,,,,,E,62,16/9/2014,04:00
Kai Tak,ESE,87,16/9/2014,01:10,E,43,16/9/2014,11:00
King's Park,SE,99,16/9/2014,01:58,SE,49,16/9/2014,02:00
Lau Fau Shan,ENE,115,16/9/2014,00:51,ENE,54,16/9/2014,01:00
Ngong Ping,ENE,175,16/9/2014,00:15,ENE,118,16/9/2014,00:00
North Point,E,101,16/9/2014,00:00,E,49,15/9/2014,23:00
,,,,,E,49,16/9/2014,05:00
Peng Chau,E,113,16/9/2014,00:26,E,75,16/9/2014,00:00
Ping Chau,E,59,16/9/2014,00:34,E,22,16/9/2014,00:00
Sai Kung,SE,94,16/9/2014,01:44,ENE,59,16/9/2014,01:00
Sha Chau,SE,92,16/9/2014,09:40,SE,65,16/9/2014,10:00
Sha Lo Wan,E,104,15/9/2014,23:09,E,56,16/9/2014,00:00
Sha Tin,NE,77,16/9/2014,00:33,ENE,25,16/9/2014,01:00
Shek Kong,E,81,16/9/2014,05:20,E,38,16/9/2014,03:00
Star Ferry (Kowloon),E,101,15/9/2014,19:08,E,58,16/9/2014,05:00
Ta Kwu Ling,E,87,16/9/2014,06:56,E,31,16/9/2014,08:00
Tai Mei Tuk,ENE,135,16/9/2014,01:11,E,85,16/9/2014,01:00
Tai Mo Shan,E,169,16/9/2014,01:37,E,110,16/9/2014,03:00
Tai Po Kau,SE,108,16/9/2014,01:51,E,58,16/9/2014,01:00
Tap Mun,E,90,16/9/2014,00:50,E,45,16/9/2014,01:00
,E,90,16/9/2014,00:52,,,,
Tate's Cairn,ESE,139,16/9/2014,01:09,E,88,16/9/2014,05:00
Tseung Kwan O,NE,76,15/9/2014,23:42,NE,20,15/9/2014,22:00
Tsing Yi Shell Oil Depot,-,81,16/9/2014,02:04,-,36,16/9/2014,04:00
,-,81,16/9/2014,04:29,-,36,16/9/2014,06:00
,-,81,16/9/2014,04:44,,,,
Tuen Mun Government Offices,ESE,81,16/9/2014,09:45,SE,36,16/9/2014,12:00
Waglan Island,E,112,16/9/2014,00:15,E,79,15/9/2014,23:00
Wetland Park,E,83,16/9/2014,01:05,E,34,16/9/2014,01:00
Wong Chuk Hang,SE,108,16/9/2014,00:50,E,41,16/9/2014,00:00
