Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),SE,56,21/6/2015,23:57,SE,31,23/6/2015,02:00
Central Pier,E,38,22/6/2015,22:03,E,23,22/6/2015,22:00
Cheung Chau,ESE,67,23/6/2015,01:57,SE,43,23/6/2015,03:00
Cheung Chau Beach,E,65,23/6/2015,01:49,E,36,23/6/2015,02:00
Green Island,ESE,56,23/6/2015,02:00,NE,30,21/6/2015,22:00
Hong Kong International Airport,ESE,52,23/6/2015,02:08,ESE,30,23/6/2015,03:00
,ESE,52,23/6/2015,02:09,,,,
Kai Tak,ESE,47,23/6/2015,01:49,ESE,23,23/6/2015,02:00
,ESE,47,23/6/2015,01:50,,,,
King's Park,ESE,41,22/6/2015,23:23,ESE,16,23/6/2015,00:00
Lau Fau Shan,SSE,51,22/6/2015,16:51,SSE,20,22/6/2015,17:00
Ngong Ping,E,90,23/6/2015,00:48,E,56,22/6/2015,23:00
North Point,E,36,22/6/2015,18:53,E,19,22/6/2015,22:00
,,,,,E,19,22/6/2015,23:00
Peng Chau,E,58,22/6/2015,00:26,E,27,21/6/2015,23:00
Ping Chau,SE,34,23/6/2015,02:57,E,7,22/6/2015,01:00
Sai Kung,SSE,58,23/6/2015,01:40,SSE,23,23/6/2015,02:00
Sha Chau,S,56,22/6/2015,15:31,SE,34,23/6/2015,03:00
Sha Lo Wan,E,51,23/6/2015,02:11,ESE,22,23/6/2015,01:00
Sha Tin,SE,36,22/6/2015,12:08,SE,14,22/6/2015,15:00
Star Ferry (Kowloon),E,54,23/6/2015,01:31,E,25,23/6/2015,02:00
Ta Kwu Ling,E,31,23/6/2015,00:07,E,12,23/6/2015,01:00
Tai Mei Tuk,ENE,45,22/6/2015,01:45,ENE,25,22/6/2015,01:00
,,,,,E,25,23/6/2015,00:00
Tai Po Kau,SE,38,23/6/2015,01:59,E,22,23/6/2015,00:00
Tap Mun,SE,49,23/6/2015,03:03,SE,22,23/6/2015,04:00
Tate's Cairn,SSE,67,21/6/2015,21:46,ESE,34,23/6/2015,00:00
Tseung Kwan O,E,40,23/6/2015,01:37,ESE,12,22/6/2015,15:00
Tsing Yi Shell Oil Depot,SSE,40,22/6/2015,16:26,SE,19,22/6/2015,12:00
Tuen Mun Government Offices,SSE,43,22/6/2015,15:39,SSE,14,22/6/2015,16:00
,SSE,43,22/6/2015,15:40,,,,
,SSE,43,22/6/2015,16:35,,,,
Waglan Island,SE,67,23/6/2015,01:04,SSE,38,23/6/2015,02:00
Wetland Park,S,31,22/6/2015,16:50,S,13,22/6/2015,17:00
Wong Chuk Hang,SE,58,22/6/2015,00:07,E,16,22/6/2015,23:00
,E,58,22/6/2015,11:12,,,,
