Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ESE,58,10/7/2015,05:02,E,22,10/7/2015,05:00
Central Pier,W,54,9/7/2015,17:18,W,31,9/7/2015,16:00
Cheung Chau,NNW,63,9/7/2015,15:41,NW,38,9/7/2015,16:00
Cheung Chau Beach,ENE,58,10/7/2015,05:38,WNW,30,9/7/2015,16:00
Green Island,NNW,70,9/7/2015,15:26,NNW,49,9/7/2015,16:00
Hong Kong International Airport,NNW,59,9/7/2015,16:22,NNW,45,9/7/2015,16:00
Kai Tak,ESE,58,10/7/2015,05:33,WNW,30,9/7/2015,16:00
King's Park,E,43,10/7/2015,05:50,NW,14,9/7/2015,17:00
Lau Fau Shan,NW,59,9/7/2015,15:53,NW,40,9/7/2015,15:00
Ngong Ping,ESE,75,10/7/2015,01:15,E,49,10/7/2015,04:00
North Point,E,62,10/7/2015,05:06,WSW,25,9/7/2015,20:00
Peng Chau,WNW,65,9/7/2015,19:09,WNW,40,9/7/2015,15:00
Ping Chau,W,41,9/7/2015,18:44,W,22,9/7/2015,19:00
Sai Kung,NNW,59,9/7/2015,14:19,E,31,10/7/2015,05:00
Sha Chau,NNW,83,9/7/2015,16:13,NNW,45,9/7/2015,17:00
Sha Lo Wan,ESE,43,10/7/2015,05:36,WNW,19,9/7/2015,20:00
Sha Tin,ENE,51,10/7/2015,04:57,ENE,14,10/7/2015,05:00
,NE,51,10/7/2015,05:29,,,,
Shek Kong,E,59,10/7/2015,05:45,E,22,10/7/2015,05:00
Star Ferry (Kowloon),E,58,10/7/2015,05:11,W,30,9/7/2015,14:00
Ta Kwu Ling,E,47,10/7/2015,03:57,E,16,10/7/2015,05:00
Tai Mei Tuk,E,79,10/7/2015,03:41,E,47,10/7/2015,04:00
Tai Mo Shan,ESE,92,10/7/2015,05:21,ESE,62,10/7/2015,02:00
Tai Po Kau,NW,52,9/7/2015,15:06,E,31,10/7/2015,05:00
Tap Mun,WNW,68,9/7/2015,14:40,WNW,38,9/7/2015,17:00
,,,,,WNW,38,9/7/2015,18:00
Tate's Cairn,ESE,101,10/7/2015,05:13,NNW,52,9/7/2015,16:00
Tseung Kwan O,ESE,31,10/7/2015,04:19,ENE,12,8/7/2015,14:00
,ESE,31,10/7/2015,04:27,NE,12,8/7/2015,16:00
Tsing Yi Shell Oil Depot,WNW,40,9/7/2015,17:29,NW,20,9/7/2015,15:00
Tuen Mun Government Offices,WNW,52,9/7/2015,15:23,NW,19,9/7/2015,16:00
Waglan Island,ESE,70,10/7/2015,04:44,ENE,38,10/7/2015,05:00
,ESE,70,10/7/2015,04:45,,,,
,ESE,70,10/7/2015,04:48,,,,
,E,70,10/7/2015,05:41,,,,
Wetland Park,NW,40,9/7/2015,16:12,NNW,20,9/7/2015,15:00
Wong Chuk Hang,E,52,10/7/2015,05:49,E,19,10/7/2015,04:00
