Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ENE,31,26/7/2016,12:18,ENE,16,26/7/2016,22:00
Central Pier,E,40,26/7/2016,14:35,E,20,26/7/2016,17:00
Cheung Chau,SE,45,26/7/2016,14:17,ESE,23,26/7/2016,15:00
Cheung Chau Beach,E,41,26/7/2016,14:19,E,23,26/7/2016,14:00
Green Island,NE,45,26/7/2016,14:41,NE,30,26/7/2016,15:00
Hong Kong International Airport,SE,41,26/7/2016,15:07,ESE,25,26/7/2016,15:00
,,,,,ESE,25,26/7/2016,16:00
Kai Tak,E,41,26/7/2016,12:19,ESE,16,26/7/2016,13:00
King's Park,SSE,30,26/7/2016,15:37,SE,12,26/7/2016,11:00
,,,,,SSE,12,26/7/2016,17:00
,,,,,SE,12,26/7/2016,19:00
Lau Fau Shan,SSE,65,26/7/2016,13:25,SE,19,26/7/2016,16:00
Ngong Ping,E,62,26/7/2016,10:03,E,38,26/7/2016,10:00
,,,,,E,38,26/7/2016,12:00
North Point,E,43,26/7/2016,12:22,E,20,26/7/2016,17:00
Peng Chau,E,38,26/7/2016,12:53,E,22,26/7/2016,11:00
Ping Chau,SE,20,26/7/2016,15:03,E,4,26/7/2016,11:00
Sai Kung,SE,31,26/7/2016,12:28,E,14,26/7/2016,16:00
Sha Chau,SSE,36,26/7/2016,17:02,SSE,23,26/7/2016,18:00
Sha Lo Wan,ESE,41,26/7/2016,15:06,ESE,16,26/7/2016,16:00
Sha Tin,ESE,27,26/7/2016,14:53,SE,9,26/7/2016,15:00
,,,,,SSE,9,26/7/2016,17:00
Shek Kong,ENE,31,26/7/2016,11:59,E,14,26/7/2016,16:00
Star Ferry (Kowloon),E,41,26/7/2016,12:26,E,16,26/7/2016,14:00
,,,,,E,16,26/7/2016,15:00
Ta Kwu Ling,NE,31,26/7/2016,12:23,ENE,13,26/7/2016,13:00
,,,,,E,13,26/7/2016,16:00
Tai Mei Tuk,E,34,26/7/2016,12:11,E,25,26/7/2016,13:00
Tai Mo Shan,ESE,49,26/7/2016,08:42,ESE,45,26/7/2016,09:00
Tai Po Kau,SSE,36,26/7/2016,10:59,ESE,19,26/7/2016,16:00
Tap Mun,SE,25,26/7/2016,14:27,SE,16,26/7/2016,15:00
,SE,25,26/7/2016,14:38,,,,
Tate's Cairn,ESE,43,26/7/2016,11:08,S,25,26/7/2016,23:00
Tseung Kwan O,ESE,31,26/7/2016,12:14,N,9,26/7/2016,12:00
Tsing Yi Shell Oil Depot,SE,34,26/7/2016,14:55,SE,19,26/7/2016,16:00
,SE,34,26/7/2016,14:57,,,,
Tuen Mun Government Offices,ESE,43,26/7/2016,13:09,SSE,19,26/7/2016,18:00
,ESE,43,26/7/2016,13:12,,,,
,SE,43,26/7/2016,13:13,,,,
Waglan Island,E,41,26/7/2016,10:17,E,30,26/7/2016,10:00
Wetland Park,ESE,31,26/7/2016,13:22,ESE,13,26/7/2016,16:00
Wong Chuk Hang,E,31,26/7/2016,10:07,E,14,26/7/2016,13:00
